Data File Name,GG_20170621_High Sensitivity DNA Assay_DE24802700_2017-06-21_14-37-03.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal
Date Created,"Wednesday, June 21, 2017 9:37:03 PM"
Date Last Modified,"Wednesday, June 21, 2017 10:15:32 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,10
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.1325684
32.05,0.1325684
32.1,0.1325684
32.15,0.1325684
32.2,0.1325684
32.25,0.1325684
32.3,0.1325684
32.35,0.1325684
32.4,0.1325684
32.45,0.1325684
32.5,0.1325684
32.55,0.1325684
32.6,0.1325684
32.65,0.1325684
32.7,0.1325684
32.75,0.1325684
32.8,0.1325684
32.85,0.1325684
32.9,0.1325684
32.95,0.1325684
33,0.1325684
33.05,0.1325684
33.1,0.1325684
33.15,0.1325684
33.2,0.1325684
33.25,0.1325684
33.3,0.1325684
33.35,0.1325684
33.4,0.1325684
33.45,0.1325684
33.5,0.1325684
33.55,0.1325684
33.6,3.534172E-02
33.65,-3.526938E-02
33.7,-0.1548251
33.75,-0.1573763
33.8,-7.097889E-02
33.85,-0.0732891
33.9,-0.1432818
33.95,-0.0826726
34,-0.1079766
34.05,5.963099E-02
34.1,0.1446839
34.15,0.3099551
34.2,0.2164497
34.25,3.830307E-02
34.3,1.524254E-02
34.35,-4.426961E-02
34.4,-9.015241E-02
34.45,1.116484E-02
34.5,0.0343441
34.55,3.817396E-02
34.6,2.986396E-02
34.65,0.1332555
34.7,8.264475E-02
34.75,1.461845E-02
34.8,5.260771E-02
34.85,5.482439E-02
34.9,1.634087E-02
34.95,1.611255E-02
35,4.454267E-02
35.05,0.1079606
35.1,0.1321503
35.15,0.3244624
35.2,0.4255716
35.25,0.4375463
35.3,0.462368
35.35,0.4141326
35.4,0.3704173
35.45,0.2404974
35.5,0.1098619
35.55,0.0814028
35.6,4.583991E-02
35.65,0.1181442
35.7,0.1969418
35.75,0.212732
35.8,0.1925463
35.85,5.362163E-02
35.9,1.597603E-02
35.95,5.142508E-02
36,7.362164E-02
36.05,0.1177984
36.1,4.473213E-02
36.15,-0.1874824
36.2,-0.3663328
36.25,-0.3502835
36.3,-0.275013
36.35,-0.197429
36.4,-0.0788923
36.45,4.824994E-02
36.5,5.001101E-02
36.55,2.479865E-02
36.6,2.479521E-02
36.65,-2.042589E-02
36.7,-0.160413
36.75,-0.2322759
36.8,-0.2416462
36.85,-0.2271302
36.9,-0.1401285
36.95,-0.1190751
37,-0.1840031
37.05,-0.2344247
37.1,-0.269539
37.15,-0.2090026
37.2,-0.1435742
37.25,-0.0610268
37.3,-5.963554E-02
37.35,-0.1236855
37.4,-0.102876
37.45,-0.1309921
37.5,-0.1347596
37.55,-0.1657454
37.6,-0.2536106
37.65,-0.2764328
37.7,-0.2374436
37.75,-0.1742707
37.8,-0.1669635
37.85,-0.1954691
37.9,-6.263315E-02
37.95,3.692289E-02
38,9.252325E-02
38.05,9.414113E-02
38.1,-2.447288E-03
38.15,-9.690227E-02
38.2,-0.2241417
38.25,-0.2895991
38.3,-0.2256397
38.35,-5.993741E-02
38.4,5.024231E-02
38.45,5.663921E-02
38.5,5.935219E-02
38.55,-8.772095E-05
38.6,-0.1042228
38.65,-3.183567E-02
38.7,6.835848E-02
38.75,8.991466E-02
38.8,5.788831E-02
38.85,8.807053E-02
38.9,0.1699627
38.95,6.428211E-02
39,1.555731E-02
39.05,-4.761399E-02
39.1,-0.1110578
39.15,-0.1521094
39.2,-0.1830634
39.25,-0.1025679
39.3,-0.1878433
39.35,-0.2446119
39.4,-0.1804794
39.45,-0.2467538
39.5,-0.3057357
39.55,-0.3806196
39.6,-0.4041021
39.65,-0.3671316
39.7,-0.3862541
39.75,-0.3652909
39.8,-0.4699258
39.85,-0.5975747
39.9,-0.6245279
39.95,-0.6455307
40,-0.6379682
40.05,-0.6421062
40.1,-0.6439432
40.15,-0.6125585
40.2,-0.5774621
40.25,-0.5485764
40.3,-0.5823328
40.35,-0.5862736
40.4,-0.5612744
40.45,-0.5755218
40.5,-0.5612721
40.55,-0.5349838
40.6,-0.4653043
40.65,-0.3953158
40.7,-0.386234
40.75,-0.3836108
40.8,-0.3846873
40.85,-0.4200974
40.9,-0.460746
40.95,-0.4499832
41,-0.3959369
41.05,-0.3939344
41.1,-0.4169903
41.15,-0.424194
41.2,-0.4340765
41.25,-0.4718739
41.3,-0.4912097
41.35,-0.4676711
41.4,-0.4241567
41.45,-0.3789021
41.5,-0.4194836
41.55,-0.5197292
41.6,-0.6075026
41.65,-0.7272508
41.7,-0.8045655
41.75,-0.8014383
41.8,-0.7962741
41.85,-0.7969369
41.9,-0.8464983
41.95,-0.745476
42,-0.5925269
42.05,-0.5433085
42.1,-0.6138802
42.15,-0.734055
42.2,-0.8617576
42.25,-0.9711807
42.3,-0.8545241
42.35,-0.5807924
42.4,-0.5316959
42.45,-0.5674127
42.5,-0.4298289
42.55,0.5129128
42.6,2.737868
42.65,7.423177
42.7,15.3723
42.75,27.47095
42.8,43.46939
42.85,61.7127
42.9,78.60885
42.95,90.14622
43,92.91513
