Data File Name,GG_20170621_High Sensitivity DNA Assay_DE24802700_2017-06-21_14-37-03.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Wednesday, June 21, 2017 9:37:03 PM",,
Date Last Modified,"Wednesday, June 21, 2017 10:15:32 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.3117981,12,1208
32.05,-0.3117981,,
32.1,-0.3117981,,
32.15,-0.3117981,,
32.2,-0.3117981,,
32.25,-0.3117981,,
32.3,-0.3117981,,
32.35,-0.3117981,,
32.4,-0.3117981,,
32.45,-0.3117981,,
32.5,-0.3117981,,
32.55,-0.3117981,,
32.6,-0.3117981,,
32.65,-0.3117981,,
32.7,-0.3117981,,
32.75,-0.3117981,,
32.8,-0.3117981,,
32.85,-0.3117981,,
32.9,-0.3117981,,
32.95,-0.3117981,,
33,-0.3117981,,
33.05,-0.3117981,,
33.1,-0.3117981,,
33.15,-0.3117981,,
33.2,-0.3117981,,
33.25,-0.3117981,,
33.3,-0.3117981,,
33.35,-0.3117981,,
33.4,-0.3117981,,
33.45,-0.3117981,,
33.5,-0.4030728,,
33.55,-0.4587749,,
33.6,-0.4457372,,
33.65,-0.4041882,,
33.7,-0.3241807,,
33.75,-0.163347,,
33.8,0.1159319,,
33.85,0.4503419,,
33.9,0.6928549,,
33.95,0.7344905,,
34,0.5252481,,
34.05,0.2105466,,
34.1,1.72E-02,,
34.15,-3.73E-02,,
34.2,-5.11E-02,,
34.25,-4.06E-02,,
34.3,3.72E-02,,
34.35,4.17E-02,,
34.4,-8.20E-02,,
34.45,-0.2456942,,
34.5,-0.4474606,,
34.55,-0.6466214,,
34.6,-0.7051195,,
34.65,-0.6185697,,
34.7,-0.4082142,,
34.75,-0.2912299,,
34.8,-0.2865779,,
34.85,-0.3221011,,
34.9,-0.3456906,,
34.95,-0.2816115,,
35,0.0855917,,
35.05,0.4012591,,
35.1,0.4972686,,
35.15,0.3543083,,
35.2,6.84E-02,,
35.25,-0.1353658,,
35.3,-0.2125607,,
35.35,-0.3167753,,
35.4,-0.2363408,,
35.45,-0.2344958,,
35.5,-0.375589,,
35.55,-0.5791892,,
35.6,-0.7877653,,
35.65,-0.9861109,,
35.7,-1.101745,,
35.75,-1.118472,,
35.8,-0.879097,,
35.85,-0.5366738,,
35.9,-0.344136,,
35.95,-0.2575611,,
36,-0.1980325,,
36.05,-0.1525746,,
36.1,-0.1222262,,
36.15,-0.1003334,,
36.2,-5.50E-02,,
36.25,2.67E-02,,
36.3,6.42E-02,,
36.35,-2.67E-02,,
36.4,-3.25E-02,,
36.45,0.1050976,,
36.5,0.2903249,,
36.55,0.4222836,,
36.6,0.3220209,,
36.65,2.70E-02,,
36.7,-0.3274658,,
36.75,-0.6856328,,
36.8,-0.8367183,,
36.85,-0.6638013,,
36.9,-0.3491245,,
36.95,-3.89E-02,,
37,0.2094804,,
37.05,0.4394397,,
37.1,0.5045561,,
37.15,0.4270374,,
37.2,0.2858286,,
37.25,7.06E-02,,
37.3,3.12E-02,,
37.35,-3.40E-03,,
37.4,-5.94E-02,,
37.45,-9.66E-02,,
37.5,-0.2325294,,
37.55,-0.3338487,,
37.6,-0.3606668,,
37.65,-0.1082238,,
37.7,0.1709865,,
37.75,-0.03146,,
37.8,-0.1829904,,
37.85,-0.340025,,
37.9,-0.554247,,
37.95,-0.8166666,,
38,-0.7205339,,
38.05,-0.3805639,,
38.1,-0.277374,,
38.15,-0.2685744,,
38.2,-7.89E-02,,
38.25,-0.1701758,,
38.3,-0.4503399,,
38.35,-0.8225852,,
38.4,-0.8493558,,
38.45,-0.7529348,,
38.5,-0.6414187,,
38.55,-0.5455008,,
38.6,-0.4199388,,
38.65,-0.2493542,,
38.7,-0.1719388,,
38.75,-0.1022903,,
38.8,6.80E-03,,
38.85,3.95E-02,,
38.9,-0.0690399,,
38.95,-0.2556219,,
39,-0.4209835,,
39.05,-0.4312647,,
39.1,-0.4402517,,
39.15,-0.5111343,,
39.2,-0.5985662,,
39.25,-0.6844332,,
39.3,-0.6953962,,
39.35,-0.6740182,,
39.4,-0.6196024,,
39.45,-0.5500278,,
39.5,-0.4946733,,
39.55,-0.5617812,,
39.6,-0.5622164,,
39.65,-0.6448136,,
39.7,-0.8077798,,
39.75,-0.9822591,,
39.8,-1.03433,,
39.85,-0.8883726,,
39.9,-0.606533,,
39.95,-0.5339481,,
40,-0.4784664,,
40.05,-0.4018148,,
40.1,-0.3872695,,
40.15,-0.3684061,,
40.2,-0.4362821,,
40.25,-0.5459797,,
40.3,-0.7036502,,
40.35,-0.8701106,,
40.4,-0.7346322,,
40.45,-0.5851694,,
40.5,-0.5006846,,
40.55,-0.5866837,,
40.6,-0.5341664,,
40.65,-0.5409393,,
40.7,-0.5039635,,
40.75,-0.4628538,,
40.8,-0.4318525,,
40.85,-0.4596775,,
40.9,-0.4196634,,
40.95,-0.3839854,,
41,-0.2082536,,
