Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-02-06_13-10-41.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, February 06, 2018 9:10:42 PM"
Date Last Modified,"Tuesday, February 06, 2018 10:15:47 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,8.849394E-02
32.05,6.289784E-02
32.1,5.358165E-04
32.15,-4.825577E-02
32.2,-9.350489E-02
32.25,-0.110272
32.3,-5.653629E-02
32.35,-0.0332974
32.4,-1.511774E-03
32.45,-3.482245E-02
32.5,-0.0816414
32.55,-0.1150118
32.6,-0.1678745
32.65,-0.1529315
32.7,-9.811531E-02
32.75,-7.120786E-02
32.8,-7.925998E-02
32.85,-0.1628378
32.9,-0.1653792
32.95,-0.20701
33,-0.2863556
33.05,-0.2482152
33.1,-0.2418159
33.15,-0.2879633
33.2,-0.2574984
33.25,-0.1967432
33.3,-0.1481321
33.35,-0.1434133
33.4,-0.1355729
33.45,-9.890769E-02
33.5,-0.1240828
33.55,-0.1393402
33.6,-0.1203975
33.65,-9.339643E-02
33.7,-0.0448902
33.75,-6.835817E-03
33.8,4.795732E-02
33.85,4.871855E-02
33.9,-3.768984E-02
33.95,-0.0688066
34,-2.072427E-02
34.05,4.000981E-02
34.1,6.941058E-02
34.15,7.626456E-02
34.2,5.349182E-02
34.25,-4.333751E-02
34.3,-0.0756679
34.35,-3.416631E-02
34.4,7.896718E-03
34.45,2.516498E-02
34.5,5.209668E-02
34.55,4.947472E-02
34.6,4.605715E-02
34.65,1.179275E-04
34.7,1.261759E-02
34.75,3.913015E-02
34.8,6.276497E-02
34.85,0.1038304
34.9,7.550798E-02
34.95,2.618675E-02
35,-1.493835E-02
35.05,-0.1001473
35.1,-0.1325545
35.15,-0.1309897
35.2,-0.101379
35.25,-0.1100611
35.3,-0.1053473
35.35,-8.173763E-03
35.4,1.19459E-03
35.45,-0.0540399
35.5,-0.1181428
35.55,-9.729955E-02
35.6,-0.1070133
35.65,-0.1232648
35.7,-8.415043E-02
35.75,-2.207486E-02
35.8,-6.927066E-03
35.85,1.162231E-03
35.9,2.865114E-02
35.95,-1.861234E-02
36,-8.277153E-02
36.05,-6.352785E-02
36.1,1.592617E-02
