Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-03-20_12-29-39.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 20, 2018 7:29:39 PM",,
Date Last Modified,"Tuesday, March 20, 2018 9:37:10 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,7,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,1.07E-02,9.5,1636
32.05,0.0237994,,
32.1,4.64E-02,,
32.15,6.23E-02,,
32.2,2.90E-03,,
32.25,-6.91E-02,,
32.3,-0.1174757,,
32.35,-0.1779576,,
32.4,-0.1558011,,
32.45,-8.56E-02,,
32.5,-0.0196173,,
32.55,2.99E-02,,
32.6,-1.68E-02,,
32.65,3.92E-02,,
32.7,6.45E-02,,
32.75,1.79E-02,,
32.8,7.51E-02,,
32.85,9.52E-02,,
32.9,8.56E-02,,
32.95,7.78E-02,,
33,9.47E-02,,
33.05,0.1559275,,
33.1,0.1865787,,
33.15,0.1278791,,
33.2,4.94E-02,,
33.25,-1.10E-02,,
33.3,-0.0923983,,
33.35,-9.34E-02,,
33.4,-5.57E-02,,
33.45,0.0205464,,
33.5,9.32E-02,,
33.55,0.1101584,,
33.6,6.67E-02,,
33.65,6.70E-02,,
33.7,3.94E-02,,
33.75,2.54E-02,,
33.8,2.19E-02,,
33.85,4.70E-02,,
33.9,0.1259587,,
33.95,0.2108077,,
34,0.2382506,,
34.05,0.1901912,,
34.1,9.33E-02,,
34.15,9.63E-03,,
34.2,-4.29E-02,,
34.25,-4.24E-02,,
34.3,-6.41E-02,,
34.35,1.93E-02,,
34.4,-2.82E-02,,
34.45,-9.45E-02,,
34.5,-0.1241408,,
34.55,-0.116277,,
34.6,-0.1420286,,
34.65,-0.130024,,
34.7,-8.80E-02,,
34.75,6.81E-03,,
34.8,0.0458485,,
34.85,1.86E-02,,
34.9,-1.39E-02,,
34.95,-8.69E-02,,
35,-0.1577345,,
35.05,-0.1947449,,
35.1,-0.1333651,,
35.15,-8.67E-02,,
35.2,-0.0515384,,
35.25,-0.1323307,,
35.3,-4.86E-02,,
35.35,2.60E-02,,
35.4,0.1171974,,
35.45,7.42E-02,,
35.5,-6.77E-03,,
35.55,-0.1436548,,
35.6,-0.3100604,,
35.65,-0.3867347,,
35.7,-0.3288959,,
35.75,-0.2118519,,
35.8,-9.25E-02,,
35.85,2.65E-03,,
35.9,7.42E-03,,
35.95,1.76E-02,,
36,4.28E-02,,
36.05,2.59E-02,,
36.1,7.76E-02,,
36.15,3.48E-02,,
36.2,8.65E-02,,
36.25,8.66E-02,,
36.3,0.03978,,
36.35,9.44E-03,,
36.4,1.17E-02,,
36.45,-4.46E-02,,
36.5,-0.119428,,
36.55,-0.2043119,,
36.6,-0.2632527,,
36.65,-0.2719795,,
36.7,-0.2708173,,
36.75,-0.1676621,,
36.8,-0.1248286,,
36.85,-0.1033164,,
36.9,-0.1144067,,
36.95,-0.1551072,,
37,-0.2843369,,
37.05,-0.2870708,,
37.1,-0.2610267,,
37.15,-0.1808851,,
37.2,-8.15E-02,,
37.25,-3.31E-02,,
37.3,9.22E-03,,
37.35,-1.56E-02,,
37.4,-0.1290915,,
37.45,-0.2267826,,
37.5,-0.2735085,,
37.55,-0.2974896,,
37.6,-0.2564268,,
37.65,-0.2023771,,
37.7,-0.1203461,,
37.75,-5.02E-02,,
37.8,-0.104376,,
37.85,-0.1582568,,
37.9,-0.1272547,,
37.95,-0.1073411,,
38,-7.70E-02,,
38.05,-3.83E-02,,
38.1,-3.12E-03,,
38.15,-4.88E-03,,
38.2,-1.05E-03,,
38.25,-1.78E-02,,
38.3,-6.02E-02,,
38.35,-0.1190451,,
38.4,-0.2057841,,
38.45,-0.2663893,,
38.5,-0.2964596,,
38.55,-0.2788477,,
38.6,-0.268212,,
38.65,-0.2195276,,
38.7,-0.2084007,,
38.75,-0.1449745,,
38.8,-0.1105244,,
38.85,-0.0640623,,
38.9,-4.71E-02,,
38.95,-9.86E-03,,
39,-5.48E-02,,
39.05,-5.65E-02,,
39.1,-5.47E-02,,
39.15,-8.83E-02,,
39.2,-9.84E-02,,
39.25,-9.42E-02,,
39.3,-8.44E-02,,
39.35,-5.54E-02,,
39.4,-5.23E-02,,
39.45,-0.0660216,,
39.5,-4.56E-02,,
39.55,-0.1846804,,
39.6,-0.2219908,,
39.65,-0.2634528,,
39.7,-0.2740202,,
39.75,-0.1160387,,
39.8,6.83E-03,,
39.85,6.14E-02,,
39.9,7.23E-02,,
39.95,-4.39E-02,,
40,-0.2121091,,
40.05,-0.3256527,,
40.1,-0.3468807,,
40.15,-0.2503909,,
40.2,-0.1688544,,
40.25,-0.1805629,,
40.3,-0.2414933,,
40.35,-0.2592784,,
40.4,-0.3461446,,
40.45,-0.2743659,,
40.5,-0.1039319,,
40.55,5.81E-02,,
40.6,0.1508013,,
40.65,0.1837536,,
40.7,0.1503883,,
40.75,0.1438878,,
40.8,0.1200336,,
40.85,9.29E-02,,
40.9,0.0745476,,
40.95,1.38E-02,,
41,-6.24E-02,,
41.05,-9.57E-02,,
41.1,-8.94E-02,,
41.15,-3.80E-02,,
41.2,2.40E-02,,
41.25,6.29E-02,,
41.3,6.91E-02,,
41.35,7.35E-02,,
41.4,4.88E-02,,
41.45,3.50E-02,,
41.5,1.76E-02,,
41.55,-6.22E-03,,
41.6,3.23E-02,,
41.65,0.0704932,,
41.7,0.0849319,,
41.75,8.47E-02,,
41.8,6.03E-02,,
41.85,2.04E-02,,
41.9,-7.72E-03,,
41.95,1.62E-02,,
42,6.37E-02,,
42.05,0.0823494,,
42.1,6.76E-02,,
42.15,9.50E-02,,
42.2,0.1092446,,
42.25,0.1221907,,
42.3,0.2171126,,
42.35,0.4185102,,
42.4,0.6233917,,
42.45,1.033368,,
42.5,1.943762,,
42.55,3.711525,,
42.6,6.821101,,
42.65,11.73299,,
42.7,18.71074,,
42.75,27.75772,,
42.8,38.40216,,
42.85,49.57906,,
42.9,60.16412,,
42.95,68.33147,,
43,72.72533,,
43.05,72.23689,,
43.1,67.28822,,
43.15,58.85156,,
43.2,48.46975,,
43.25,37.50623,,
43.3,27.38719,,
43.35,18.82074,,
43.4,12.20573,,
43.45,7.574618,,
43.5,4.597802,,
43.55,2.830363,,
43.6,1.845799,,
43.65,1.311211,,
43.7,0.9898837,,
43.75,0.7991765,,
43.8,0.6798576,,
43.85,0.6859329,,
43.9,0.6730368,,
43.95,0.6148136,,
44,0.6105945,,
44.05,0.6174127,,
44.1,0.6300334,,
44.15,0.6188097,,
44.2,0.6311725,,
44.25,0.6836176,,
44.3,0.6905475,,
44.35,0.6174766,,
44.4,0.5544389,,
44.45,0.5171072,,
44.5,0.4390059,,
44.55,0.4222558,,
44.6,0.4454307,,
44.65,0.5537766,,
44.7,0.6929098,,
44.75,0.7066809,,
44.8,0.6927445,,
44.85,0.6707231,,
44.9,0.7052268,,
44.95,0.8282725,,
45,0.9877511,,
45.05,1.167224,,
45.1,1.334212,,
45.15,1.487325,,
45.2,1.691288,,
45.25,1.969739,,
45.3,2.25226,,
45.35,2.474469,,
45.4,2.625529,,
45.45,2.709265,,
45.5,2.805592,,
45.55,2.957309,,
45.6,3.13521,,
45.65,3.263011,,
45.7,3.328992,,
45.75,3.314082,,
45.8,3.308368,,
45.85,3.272098,,
45.9,3.186837,,
45.95,3.070601,,
46,2.868763,,
46.05,2.572694,,
46.1,2.227216,,
46.15,1.871027,,
46.2,1.540564,,
46.25,1.247211,,
46.3,1.007517,,
46.35,0.8457524,,
46.4,0.8680966,,
46.45,0.8680705,,
46.5,0.8241954,,
46.55,0.674747,,
46.6,0.5768335,,
46.65,0.4928479,,
46.7,0.4662229,,
46.75,0.4824546,,
46.8,0.5341682,,
