Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Wednesday, September 06, 2017 9:50:13 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.0748291
32.05,0.0748291
32.1,0.0748291
32.15,0.0748291
32.2,0.0748291
32.25,0.0748291
32.3,0.0748291
32.35,0.0748291
32.4,0.0748291
32.45,0.0748291
32.5,0.0748291
32.55,0.0748291
32.6,0.0748291
32.65,0.0748291
32.7,0.0748291
32.75,0.0748291
32.8,0.0748291
32.85,0.0748291
32.9,0.0748291
32.95,0.0748291
33,0.0748291
33.05,0.0748291
33.1,0.0748291
33.15,0.0748291
33.2,0.0748291
33.25,0.0748291
33.3,0.0748291
33.35,0.0748291
33.4,0.0748291
33.45,0.0748291
33.5,0.0748291
33.55,0.0748291
33.6,0.0748291
33.65,0.0748291
33.7,5.407666E-02
33.75,-3.535488E-02
33.8,-3.335916E-02
33.85,-2.250517E-02
33.9,-2.536782E-02
33.95,-9.966133E-02
34,-0.1535469
34.05,-0.1492281
34.1,-7.229874E-02
34.15,0.1098753
34.2,0.1321849
34.25,0.1690623
34.3,0.1296562
34.35,4.562698E-02
34.4,-1.555154E-02
34.45,-2.381781E-02
34.5,-5.428415E-02
34.55,-6.736367E-02
34.6,-8.334162E-02
34.65,-0.1478765
34.7,-0.27687
34.75,-0.3919603
34.8,-0.4154267
34.85,-0.4662679
34.9,-0.5830176
34.95,-0.6331925
35,-0.5467454
35.05,-0.4253099
35.1,-0.4873828
35.15,-0.5357926
35.2,-0.5221722
35.25,-0.4972687
35.3,-0.4204109
35.35,-0.3340399
35.4,-0.3340825
35.45,-0.5084757
35.5,-0.6067474
35.55,-0.5839163
35.6,-0.4968525
35.65,-0.4128144
35.7,-0.3812021
35.75,-0.3672097
35.8,-0.3969024
35.85,-0.3375676
35.9,-0.2124746
35.95,-0.1380641
36,-9.942698E-02
36.05,-0.1460853
36.1,-0.1195869
36.15,-0.2246065
36.2,-0.1343047
36.25,-0.0803147
36.3,-0.1240354
36.35,-8.505506E-02
36.4,-0.1042286
36.45,-5.941094E-02
36.5,-4.693022E-02
36.55,-1.487868E-02
36.6,3.666787E-02
36.65,2.187072E-03
36.7,3.328704E-02
36.75,1.065176E-02
36.8,3.984459E-02
36.85,2.875371E-02
36.9,-6.972572E-02
36.95,-0.2071939
37,-0.2585674
37.05,-0.2089019
37.1,-0.1768012
37.15,-0.2235633
37.2,-0.2387696
37.25,-0.3041202
37.3,-0.3276735
37.35,-0.1944763
37.4,-0.1454346
37.45,-0.2574773
37.5,-0.4171981
37.55,-0.3299393
37.6,-0.3351412
37.65,-0.3831934
37.7,-0.3550722
37.75,-0.4087057
37.8,-0.4111734
37.85,-0.2982367
37.9,-0.1990654
37.95,-0.2502482
38,-0.3566895
38.05,-0.4155909
38.1,-0.4396912
38.15,-0.288405
38.2,-0.140234
38.25,-0.1169887
38.3,-0.1330582
38.35,-0.103059
38.4,-0.054683
38.45,0.0597887
38.5,0.1551172
38.55,0.1243355
38.6,2.34223E-03
38.65,-9.895691E-02
38.7,-0.1374006
38.75,-0.111385
