Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Wednesday, August 02, 2017 6:26:52 PM"
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-8.322144E-02
32.05,-8.322144E-02
32.1,-8.322144E-02
32.15,-8.322144E-02
32.2,-8.322144E-02
32.25,-8.322144E-02
32.3,-8.322144E-02
32.35,-8.322144E-02
32.4,-8.322144E-02
32.45,-8.322144E-02
32.5,-8.322144E-02
32.55,-8.322144E-02
32.6,-8.322144E-02
32.65,-8.322144E-02
32.7,-8.322144E-02
32.75,-8.322144E-02
32.8,-8.322144E-02
32.85,-8.322144E-02
32.9,-0.12279
32.95,-0.2693277
33,-0.1974148
33.05,-0.1744468
33.1,-0.1185136
33.15,-3.690637E-02
33.2,0.1226335
33.25,0.2246008
33.3,0.1013156
33.35,-0.0150425
33.4,-0.1661895
33.45,-9.866173E-02
33.5,7.094193E-02
33.55,0.1745631
33.6,0.1918566
33.65,0.3529156
33.7,0.4153533
33.75,0.3046916
33.8,0.2763838
33.85,0.3574222
33.9,0.3524476
33.95,0.1538846
34,0.0483307
34.05,-0.1190122
34.1,-0.0189042
34.15,0.2255102
34.2,0.3617841
34.25,0.1377098
34.3,-8.146123E-02
34.35,-0.2935356
34.4,-0.2821413
34.45,-0.2186608
34.5,-0.1295391
34.55,-0.2937076
34.6,-0.4337134
34.65,-0.4813981
34.7,-0.4022765
34.75,-0.3134427
34.8,-0.5572326
34.85,-0.7616417
34.9,-0.792625
34.95,-0.7193013
35,-0.7270223
35.05,-0.6811084
35.1,-0.8003091
35.15,-0.8135942
35.2,-0.6159041
35.25,-0.4606464
35.3,-0.595825
35.35,-0.5981066
35.4,-0.7367284
35.45,-0.7698829
35.5,-0.3967223
35.55,-0.2567469
35.6,-0.1272241
35.65,-0.1889867
35.7,-0.2856887
35.75,-0.4115882
35.8,-0.2462064
35.85,-0.1149675
35.9,-2.361615E-02
35.95,-8.421288E-02
36,-7.382815E-02
36.05,-0.1007748
36.1,-7.740142E-02
36.15,-0.1797123
36.2,-0.3461801
36.25,-0.5145966
36.3,-0.6089075
36.35,-0.3807323
36.4,-0.3677703
36.45,-0.4207289
36.5,-0.4898441
36.55,-0.5142102
36.6,-0.5127979
36.65,-0.6261845
36.7,-0.6573586
36.75,-0.8133045
36.8,-0.9627844
36.85,-0.9893165
36.9,-0.9041089
36.95,-0.7966394
37,-0.9308119
37.05,-1.066328
37.1,-1.04815
37.15,-1.017109
37.2,-0.9502105
37.25,-0.8879133
37.3,-0.9735585
37.35,-0.9813354
37.4,-0.9090189
37.45,-0.8739039
37.5,-0.9701884
37.55,-0.7640268
37.6,-0.6176828
37.65,-0.5785576
37.7,-0.5019658
37.75,-0.6812192
37.8,-0.6779001
37.85,-0.5449542
37.9,-0.3281558
37.95,-0.3101786
38,-0.4010001
38.05,-0.4299548
38.1,-0.4537526
38.15,-0.4182493
38.2,-0.2634359
38.25,-0.2082409
38.3,-0.2292088
38.35,-0.3859182
38.4,-0.5296637
38.45,-0.716085
38.5,-0.7574533
38.55,-0.6990133
38.6,-0.6378535
38.65,-0.7693592
38.7,-0.9057001
38.75,-0.9707052
38.8,-1.122576
38.85,-1.150343
38.9,-1.244314
38.95,-1.457825
39,-1.727126
39.05,-1.390915
39.1,-1.314006
39.15,-1.270105
39.2,-1.161538
39.25,-1.257616
39.3,-1.281832
39.35,-1.281644
39.4,-1.463015
39.45,-1.55518
39.5,-1.346549
39.55,-1.169973
39.6,-1.038501
39.65,-1.074965
39.7,-1.339136
39.75,-1.429137
39.8,-1.43896
39.85,-1.545426
39.9,-1.367832
39.95,-1.181346
40,-1.198797
40.05,-1.134272
40.1,-1.055186
40.15,-1.107201
40.2,-1.133797
40.25,-1.073936
40.3,-1.072874
40.35,-0.9702337
40.4,-0.8516782
40.45,-0.7967762
40.5,-0.8680097
40.55,-0.8502862
40.6,-0.8969135
40.65,-0.9251922
40.7,-1.055335
40.75,-1.173844
40.8,-1.396278
40.85,-1.49343
40.9,-1.332553
40.95,-1.294666
41,-1.3001
41.05,-1.349136
41.1,-1.479438
41.15,-1.766532
41.2,-1.714023
41.25,-1.520585
41.3,-1.424573
41.35,-1.461887
41.4,-1.42271
41.45,-1.559987
41.5,-1.694948
41.55,-1.660894
41.6,-1.672552
41.65,-1.917153
41.7,-1.896093
41.75,-1.702003
41.8,-1.643154
41.85,-1.736013
41.9,-1.678519
41.95,-1.686616
42,-1.53696
42.05,-1.319377
42.1,-1.336571
42.15,-1.550212
42.2,-1.65923
42.25,-1.417242
42.3,-1.213612
42.35,-1.169903
42.4,-1.184084
42.45,-1.191514
42.5,-0.7886382
42.55,0.2223246
42.6,3.067618
42.65,9.137964
42.7,20.48675
42.75,39.92685
42.8,67.08144
42.85,98.52066
42.9,128.6239
42.95,150.4221
43,157.1723
43.05,144.1052
43.1,117.6559
43.15,84.54942
43.2,52.88703
43.25,28.57818
43.3,13.10063
43.35,4.73502
43.4,0.8872548
43.45,-0.7102072
43.5,-1.517293
43.55,-1.731719
43.6,-1.571124
43.65,-1.47387
43.7,-1.528741
43.75,-1.558588
43.8,-1.551833
43.85,-1.704699
43.9,-1.732183
43.95,-1.719907
44,-1.836237
44.05,-1.80364
44.1,-1.552315
44.15,-1.58806
44.2,-1.714142
44.25,-1.686247
44.3,-1.485942
44.35,-1.385053
44.4,-1.338752
44.45,-1.489647
44.5,-1.556818
44.55,-1.457973
44.6,-1.107735
44.65,-1.129922
44.7,-1.369813
44.75,-1.451813
44.8,-1.291114
44.85,-0.3825522
44.9,3.4689
44.95,12.29711
45,29.1696
45.05,58.05175
45.1,100.4805
45.15,153.8646
45.2,205.9589
45.25,242.39
45.3,251.7468
45.35,230.6291
45.4,184.4207
45.45,127.6701
45.5,76.74442
45.55,39.15829
45.6,16.91687
45.65,6.22902
45.7,2.257623
45.75,0.6185581
45.8,0.2263505
45.85,-0.2527319
45.9,-0.6083483
45.95,-0.8513468
46,-0.9377909
46.05,-1.012915
46.1,-0.9306153
46.15,-0.8726488
46.2,-0.9566373
46.25,-1.025256
46.3,-1.294458
46.35,-1.414223
46.4,-1.490141
46.45,-1.352391
46.5,-1.36801
46.55,-1.422031
46.6,-1.589409
46.65,-1.65156
46.7,-1.761071
46.75,-1.80845
46.8,-1.716351
46.85,-1.615417
46.9,-1.606007
46.95,-1.500131
47,-1.655962
47.05,-1.657515
47.1,-1.546154
47.15,-1.458669
47.2,-1.450213
47.25,-1.696392
47.3,-1.910756
47.35,-2.013051
47.4,-2.021601
47.45,-2.041518
47.5,-2.049913
47.55,-2.32549
47.6,-2.281161
47.65,-2.180304
47.7,-2.175545
47.75,-2.309214
47.8,-2.220495
47.85,-2.391088
47.9,-2.236109
47.95,-1.956786
48,-1.956806
48.05,-2.038545
48.1,-2.185314
48.15,-2.280095
48.2,-2.41729
48.25,-2.278204
48.3,-2.176859
48.35,-2.161078
48.4,-1.812212
48.45,-1.730995
48.5,-1.870528
48.55,-2.028734
48.6,-2.058611
48.65,-2.009045
48.7,-1.85239
48.75,-1.742869
48.8,-1.875126
48.85,-1.963086
48.9,-1.986995
48.95,-1.715011
49,-1.509291
49.05,-1.465346
49.1,-1.607847
49.15,-1.700571
49.2,-1.820771
49.25,-1.911934
49.3,-1.955085
49.35,-1.984
49.4,-2.011694
49.45,-1.987798
49.5,-1.943514
49.55,-1.855699
49.6,-1.747122
49.65,-1.607471
49.7,-1.727393
49.75,-1.860965
49.8,-2.037987
49.85,-2.072236
49.9,-2.156035
49.95,-2.068177
50,-1.898211
50.05,-1.78327
50.1,-1.93779
50.15,-1.993921
50.2,-2.120784
50.25,-2.164895
50.3,-2.08738
50.35,-2.043566
50.4,-1.991399
50.45,-1.757199
50.5,-1.505671
50.55,-0.8847708
50.6,1.389245
50.65,8.168893
50.7,24.13516
50.75,56.06607
50.8,106.3728
50.85,170.0955
50.9,235.6987
50.95,286.9114
51,306.2809
51.05,283.1968
51.1,228.5612
51.15,159.2686
51.2,94.25465
51.25,46.36828
51.3,20.81109
51.35,9.377435
51.4,5.093264
51.45,3.222289
51.5,2.29389
51.55,1.648109
51.6,1.277794
51.65,1.229267
51.7,1.195923
51.75,0.6823673
51.8,0.1690837
51.85,-0.2903073
51.9,-0.7489628
51.95,-1.106161
52,-1.172665
52.05,-1.439659
52.1,-1.527289
52.15,-1.447456
52.2,-1.410977
52.25,-1.402693
52.3,-1.429835
52.35,-1.583079
52.4,-1.646229
52.45,-1.497595
52.5,-1.369854
52.55,-1.12385
52.6,-1.273072
52.65,-1.40292
52.7,-1.321367
52.75,-1.166244
52.8,-1.087376
52.85,-0.9251244
52.9,-0.9045131
52.95,-0.9886917
53,-0.8032411
53.05,-0.7403656
53.1,-0.879837
53.15,-1.119679
53.2,-1.128688
53.25,-1.155036
53.3,-1.057278
53.35,-0.9230114
53.4,-0.9125052
53.45,-1.040438
53.5,-1.168581
53.55,-1.182823
53.6,-1.136535
53.65,-1.283968
53.7,-0.9635962
53.75,-1.006403
53.8,-1.105633
53.85,-1.287758
53.9,-1.490957
53.95,-1.676602
54,-1.451815
54.05,-1.265176
54.1,-1.366938
54.15,-1.443129
54.2,-1.435942
54.25,-1.331897
54.3,-1.115618
54.35,-0.84457
54.4,-0.9096776
54.45,-1.148423
54.5,-1.165233
54.55,-1.226784
54.6,-1.157794
54.65,-0.9716772
54.7,-0.891633
54.75,-1.040646
54.8,-1.053258
54.85,-0.9768747
54.9,-0.8598413
54.95,-0.7334559
55,-0.6878806
55.05,-0.6244621
55.1,-0.611361
55.15,-0.5122972
55.2,-0.364918
55.25,-0.2899603
55.3,-0.3407689
55.35,-0.3102798
55.4,9.223257E-02
55.45,2.173386
55.5,8.786783
55.55,26.17106
55.6,60.42599
55.65,116.0213
55.7,189.5505
55.75,269.3215
55.8,335.2911
55.85,365.6465
55.9,351.8153
55.95,298.6609
56,220.8124
56.05,140.4979
56.1,77.78538
56.15,37.7463
56.2,16.94987
56.25,8.5678
56.3,5.573477
56.35,4.397499
56.4,4.053977
56.45,3.40407
56.5,2.867827
56.55,2.463202
56.6,2.09208
56.65,1.721502
56.7,1.498605
56.75,1.150163
56.8,0.8786783
56.85,0.6911136
56.9,0.6674263
56.95,0.645214
57,0.5763354
57.05,0.6657879
57.1,0.5628015
57.15,0.5707758
57.2,0.4402785
57.25,0.2104238
57.3,-5.766846E-02
57.35,-5.828561E-02
57.4,0.1145512
57.45,0.1971041
57.5,0.1640201
57.55,3.950852E-02
57.6,-0.1169128
57.65,-0.1079726
57.7,-0.0583433
57.75,-6.975668E-02
57.8,-0.2031575
57.85,-0.3345082
57.9,-0.3560908
57.95,-0.2140276
58,-0.2360889
58.05,-0.3430911
58.1,-0.5069475
58.15,-0.775806
58.2,-1.076447
58.25,-0.9823539
58.3,-0.9554613
58.35,-0.8027445
58.4,-0.5328235
58.45,-0.6351972
58.5,-0.9828301
58.55,-1.084118
58.6,-0.9569213
58.65,-0.8677962
58.7,-0.5696388
58.75,-0.3713243
58.8,-0.3901558
58.85,-0.2617161
58.9,-0.1934315
58.95,-0.4065766
59,-0.5679789
59.05,-0.4825868
59.1,-0.3888244
59.15,-0.2505837
59.2,-0.2213575
59.25,-0.2065559
59.3,-0.0299196
59.35,0.1700836
59.4,0.2474427
59.45,0.251781
59.5,0.2166727
59.55,0.261913
59.6,0.3639038
59.65,0.4104861
59.7,0.5681639
59.75,0.8562679
59.8,0.8872651
59.85,0.6630971
59.9,0.4326374
59.95,0.3182702
60,0.2038345
60.05,0.4408002
60.1,1.095002
60.15,3.344544
60.2,10.86951
60.25,29.10341
60.3,65.4706
60.35,124.4689
60.4,201.3796
60.45,284.3716
60.5,355.6757
60.55,400.0254
60.6,402.3564
60.65,362.2881
60.7,292.3614
60.75,210.8284
60.8,134.2243
60.85,76.84372
60.9,44.2995
60.95,27.6145
61,20.5416
61.05,17.89181
61.1,16.56406
61.15,14.9244
61.2,13.40845
61.25,11.75334
61.3,10.20329
61.35,9.045266
61.4,8.152581
61.45,7.291053
61.5,6.287725
61.55,5.421099
61.6,4.87128
61.65,4.558675
61.7,4.191697
61.75,3.734336
61.8,3.242482
61.85,2.813417
61.9,2.713854
61.95,2.899257
62,2.69958
62.05,2.418484
62.1,2.121016
62.15,1.753612
62.2,1.474748
62.25,1.613264
62.3,1.67949
62.35,1.527586
62.4,1.367531
62.45,1.19553
62.5,0.7086394
62.55,0.586572
62.6,0.5649976
62.65,0.4320338
62.7,0.2902021
62.75,0.2041919
62.8,0.1966835
62.85,0.1694213
62.9,0.3144792
62.95,0.4208367
63,0.3046546
63.05,0.1463404
63.1,0.1763893
63.15,0.1548345
63.2,0.227702
63.25,0.4202193
63.3,0.2846738
63.35,0.2362099
63.4,0.2041627
63.45,0.4506953
63.5,0.7008557
63.55,0.7809047
63.6,0.6499067
63.65,0.4623715
63.7,0.2978253
63.75,0.4500596
63.8,0.8240147
63.85,0.9667783
63.9,1.070125
63.95,0.9689502
64,0.7568733
64.05,0.5847843
64.1,0.5577114
64.15,0.6767074
64.2,0.7520251
64.25,0.5863755
64.3,0.4146799
64.35,0.3463564
64.4,0.3334638
64.45,0.4595377
64.5,0.5325829
64.55,0.3233809
64.6,0.1356226
64.65,0.0348406
64.7,-4.894619E-02
64.75,-2.305924E-02
64.8,-4.309016E-02
64.85,-4.414292E-02
64.9,-4.920808E-02
64.95,-1.828312E-02
65,-2.127309E-02
65.05,-4.881239E-02
65.1,-5.106886E-02
65.15,3.575126E-02
65.2,9.408596E-02
65.25,5.150228E-02
65.3,0.1811369
65.35,0.1644196
65.4,0.1988774
65.45,0.231094
65.5,0.2210884
65.55,0.3209569
65.6,0.3750687
65.65,0.7011448
65.7,0.579766
65.75,0.4611076
65.8,0.4038263
65.85,0.4140934
65.9,0.4836788
65.95,0.4968621
66,0.6607458
66.05,0.5010996
66.1,0.453559
66.15,0.6417341
66.2,0.6197858
66.25,0.6170369
66.3,0.6806614
