Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Wednesday, August 02, 2017 6:26:52 PM",,
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.7420959,10,1521
32.05,0.7420959,,
32.1,0.7420959,,
32.15,0.7420959,,
32.2,0.7420959,,
32.25,0.7420959,,
32.3,0.7420959,,
32.35,0.7420959,,
32.4,0.7420959,,
32.45,0.7420959,,
32.5,0.7420959,,
32.55,0.7420959,,
32.6,0.7420959,,
32.65,0.7420959,,
32.7,0.7420959,,
32.75,0.7420959,,
32.8,0.7420959,,
32.85,0.7420959,,
32.9,0.7420959,,
32.95,0.7420959,,
33,0.6062149,,
33.05,0.4405018,,
33.1,0.2459653,,
33.15,0.1076038,,
33.2,0.2606692,,
33.25,0.49297,,
33.3,0.4469925,,
33.35,0.3651003,,
33.4,0.223537,,
33.45,-9.85E-03,,
33.5,-6.39E-02,,
33.55,-0.1275087,,
33.6,-0.2558417,,
33.65,-0.4542432,,
33.7,-0.6384238,,
33.75,-0.8288647,,
33.8,-0.9093513,,
33.85,-0.868333,,
33.9,-0.8400122,,
33.95,-0.7471774,,
34,-0.6820518,,
34.05,-0.578722,,
34.1,-0.3932643,,
34.15,-0.4075257,,
34.2,-0.5906559,,
34.25,-0.7184105,,
34.3,-0.9235904,,
34.35,-1.008896,,
34.4,-0.8342813,,
34.45,-0.7229884,,
34.5,-0.6673863,,
34.55,-0.4631068,,
34.6,-0.3816389,,
34.65,-0.5411528,,
34.7,-0.6173044,,
34.75,-0.5255239,,
34.8,-0.48884,,
34.85,-0.3982006,,
34.9,-0.2562217,,
34.95,-0.3263771,,
35,-0.3320026,,
35.05,-0.3023104,,
35.1,-0.338239,,
35.15,-0.3756006,,
35.2,-0.3473896,,
35.25,-0.3690465,,
35.3,-0.3498296,,
35.35,-0.4505441,,
35.4,-0.6140394,,
35.45,-0.7135774,,
35.5,-0.8721553,,
35.55,-1.016784,,
35.6,-0.7745924,,
35.65,-0.4370884,,
35.7,-0.4262114,,
35.75,-0.2834072,,
35.8,-0.3154183,,
35.85,-0.5712281,,
35.9,-0.6952447,,
35.95,-0.5864997,,
36,-0.7553825,,
36.05,-0.9804739,,
36.1,-0.8848079,,
36.15,-0.8965173,,
36.2,-0.9480031,,
36.25,-0.9032744,,
36.3,-0.8953442,,
36.35,-1.002645,,
36.4,-1.009314,,
36.45,-0.9375955,,
36.5,-1.050025,,
36.55,-1.107967,,
36.6,-1.176133,,
36.65,-1.205236,,
36.7,-1.187638,,
36.75,-1.042632,,
36.8,-1.03993,,
36.85,-1.185779,,
36.9,-1.390985,,
36.95,-1.378624,,
37,-1.215829,,
37.05,-0.9804205,,
37.1,-0.7946038,,
37.15,-0.8494859,,
37.2,-0.8839266,,
37.25,-0.874195,,
37.3,-0.7510844,,
37.35,-0.9056317,,
37.4,-0.9693766,,
37.45,-0.892978,,
37.5,-0.8756414,,
37.55,-0.603871,,
37.6,-0.476198,,
37.65,-0.3630179,,
37.7,-0.456051,,
37.75,-0.4388162,,
37.8,-0.4002784,,
37.85,-0.4901089,,
37.9,-0.6055251,,
37.95,-0.8303459,,
38,-1.118113,,
38.05,-1.316019,,
38.1,-1.302193,,
38.15,-1.277309,,
38.2,-1.273701,,
38.25,-1.316421,,
38.3,-1.384687,,
38.35,-1.311281,,
38.4,-1.01165,,
38.45,-1.096007,,
38.5,-1.214429,,
38.55,-1.46557,,
38.6,-1.680331,,
38.65,-1.700287,,
38.7,-1.406015,,
38.75,-1.385171,,
38.8,-1.349021,,
38.85,-1.070259,,
38.9,-1.057552,,
38.95,-1.20843,,
39,-1.36285,,
39.05,-1.386041,,
39.1,-1.448198,,
39.15,-1.223879,,
39.2,-1.062349,,
39.25,-1.01367,,
39.3,-0.9636282,,
39.35,-0.6709676,,
39.4,-0.6227409,,
39.45,-0.7172858,,
39.5,-0.8295869,,
39.55,-0.9840083,,
39.6,-1.006926,,
39.65,-1.025759,,
39.7,-1.029389,,
39.75,-0.7664584,,
39.8,-0.7023711,,
39.85,-0.7742895,,
39.9,-1.041552,,
39.95,-1.407861,,
40,-1.631536,,
40.05,-1.328048,,
40.1,-1.051023,,
40.15,-0.9983817,,
40.2,-0.9820269,,
40.25,-1.18529,,
40.3,-1.423172,,
40.35,-1.446483,,
40.4,-1.563971,,
40.45,-1.686333,,
40.5,-1.718784,,
40.55,-1.680203,,
40.6,-1.614536,,
40.65,-1.487992,,
40.7,-1.439563,,
40.75,-1.551167,,
40.8,-1.849379,,
40.85,-2.115809,,
40.9,-2.236414,,
40.95,-2.074193,,
41,-1.808497,,
41.05,-1.505561,,
41.1,-1.374038,,
41.15,-1.35687,,
41.2,-1.415826,,
41.25,-1.426149,,
41.3,-1.443695,,
41.35,-1.372461,,
41.4,-1.149858,,
41.45,-1.034609,,
41.5,-1.070506,,
41.55,-1.151643,,
41.6,-1.258004,,
41.65,-1.32533,,
41.7,-1.367233,,
41.75,-1.307525,,
41.8,-1.491174,,
41.85,-1.496207,,
41.9,-1.46553,,
41.95,-1.241333,,
42,-1.26771,,
42.05,-1.385324,,
42.1,-1.470983,,
42.15,-1.548512,,
42.2,-1.557188,,
42.25,-1.582833,,
42.3,-1.678989,,
42.35,-1.799504,,
42.4,-1.804837,,
42.45,-1.466042,,
42.5,-0.3680777,,
42.55,2.150368,,
42.6,7.470931,,
42.65,17.73893,,
42.7,36.03266,,
42.75,63.68813,,
42.8,100.374,,
42.85,141.6329,,
42.9,180.5192,,
42.95,209.3251,,
43,222.1097,,
43.05,211.9894,,
43.1,184.2439,,
43.15,146.304,,
43.2,104.8495,,
43.25,67.24747,,
43.3,38.51847,,
43.35,20.42554,,
43.4,10.19229,,
43.45,5.645195,,
43.5,3.696023,,
43.55,2.780324,,
43.6,2.416179,,
43.65,2.039221,,
43.7,1.697203,,
43.75,1.154752,,
43.8,0.5205917,,
43.85,0.2927467,,
43.9,0.2538201,,
43.95,-1.02E-02,,
44,-0.208004,,
44.05,-0.4750514,,
44.1,-0.8659683,,
44.15,-0.9893467,,
44.2,-0.8726888,,
44.25,-1.105683,,
44.3,-1.199568,,
44.35,-1.139287,,
44.4,-1.073891,,
44.45,-0.96084,,
44.5,-0.8551286,,
44.55,-0.9831762,,
44.6,-1.320077,,
44.65,-1.447428,,
44.7,-1.393721,,
44.75,-1.250279,,
44.8,-1.056701,,
44.85,-0.8743246,,
44.9,-1.002103,,
44.95,-1.06571,,
45,-1.09189,,
45.05,-1.035085,,
45.1,-1.084554,,
45.15,-0.933096,,
45.2,-0.953274,,
45.25,-0.9595529,,
45.3,-0.9016803,,
45.35,-0.961812,,
45.4,-1.072204,,
45.45,-1.240482,,
45.5,-1.208614,,
45.55,-1.313449,,
45.6,-1.421715,,
45.65,-1.630227,,
45.7,-1.646051,,
45.75,-1.491764,,
45.8,-1.243741,,
45.85,-1.130555,,
45.9,-1.072269,,
45.95,-1.150176,,
46,-1.216211,,
46.05,-1.102836,,
46.1,-1.200136,,
46.15,-1.150408,,
46.2,-1.074099,,
46.25,-0.8311553,,
46.3,-0.7673952,,
46.35,-0.7565467,,
46.4,-0.8622775,,
46.45,-1.082626,,
46.5,-1.122537,,
46.55,-1.195672,,
46.6,-1.019168,,
46.65,-0.9274946,,
46.7,-1.135091,,
46.75,-1.280489,,
46.8,-1.528172,,
46.85,-1.994589,,
46.9,-2.261153,,
46.95,-2.336612,,
47,-2.505372,,
47.05,-2.420586,,
47.1,-2.179365,,
47.15,-2.091932,,
47.2,-2.111418,,
47.25,-2.121211,,
47.3,-2.21534,,
47.35,-2.210229,,
47.4,-2.298229,,
47.45,-2.196795,,
47.5,-2.113384,,
47.55,-2.141367,,
47.6,-1.941791,,
47.65,-1.752509,,
47.7,-1.696136,,
47.75,-1.478164,,
47.8,-1.307396,,
47.85,-1.424976,,
47.9,-1.800384,,
47.95,-1.907497,,
48,-2.018397,,
48.05,-1.895676,,
48.1,-1.69979,,
48.15,-1.657069,,
48.2,-1.855997,,
48.25,-2.159523,,
48.3,-2.132141,,
48.35,-2.054558,,
48.4,-2.031553,,
48.45,-1.86769,,
48.5,-2.002957,,
48.55,-2.215792,,
48.6,-2.398643,,
48.65,-2.316614,,
48.7,-2.384436,,
48.75,-2.267558,,
48.8,-2.31176,,
48.85,-2.619523,,
48.9,-2.745556,,
48.95,-2.697154,,
49,-2.480761,,
49.05,-2.494276,,
49.1,-2.579856,,
49.15,-2.564464,,
49.2,-2.494265,,
49.25,-2.490958,,
49.3,-2.456334,,
49.35,-2.361709,,
49.4,-2.444809,,
49.45,-2.219172,,
49.5,-2.080063,,
49.55,-2.272653,,
49.6,-2.554255,,
49.65,-2.777647,,
49.7,-2.74737,,
49.75,-2.697872,,
49.8,-2.579379,,
49.85,-2.626008,,
49.9,-2.707128,,
49.95,-2.671699,,
50,-2.448005,,
50.05,-2.251303,,
50.1,-2.186671,,
50.15,-2.119466,,
50.2,-1.886365,,
50.25,-1.871477,,
50.3,-1.89743,,
50.35,-1.985039,,
50.4,-2.176463,,
50.45,-2.247273,,
50.5,-2.209811,,
50.55,-2.242636,,
50.6,-2.353676,,
50.65,-2.544758,,
50.7,-2.638818,,
50.75,-2.487257,,
50.8,-2.481121,,
50.85,-2.597948,,
50.9,-2.829857,,
50.95,-2.889823,,
51,-3.09849,,
51.05,-2.963436,,
51.1,-2.867313,,
51.15,-2.815061,,
51.2,-2.65756,,
51.25,-2.646271,,
51.3,-2.782822,,
51.35,-3.060313,,
51.4,-3.136152,,
51.45,-3.237606,,
51.5,-3.055929,,
51.55,-2.490735,,
51.6,-2.486696,,
51.65,-2.671887,,
51.7,-2.959572,,
51.75,-3.272268,,
51.8,-3.38624,,
51.85,-3.117836,,
51.9,-2.908266,,
51.95,-2.957293,,
52,-2.84662,,
52.05,-2.738809,,
52.1,-2.470874,,
52.15,-2.287274,,
52.2,-2.107361,,
52.25,-2.081275,,
52.3,-2.248744,,
52.35,-2.361868,,
52.4,-2.381482,,
52.45,-2.266715,,
52.5,-2.325716,,
52.55,-2.436697,,
52.6,-2.676783,,
52.65,-3.071293,,
52.7,-3.109978,,
52.75,-2.837392,,
52.8,-2.591948,,
52.85,-2.591235,,
52.9,-2.599195,,
52.95,-2.809636,,
53,-2.965022,,
53.05,-2.927572,,
53.1,-2.732743,,
53.15,-2.942311,,
53.2,-3.066603,,
53.25,-3.145343,,
53.3,-3.283636,,
53.35,-3.155729,,
53.4,-3.086531,,
53.45,-2.915938,,
53.5,-2.888556,,
53.55,-2.892773,,
53.6,-2.874985,,
53.65,-2.914538,,
53.7,-3.052382,,
53.75,-3.018416,,
53.8,-2.823881,,
53.85,-2.754163,,
53.9,-2.821246,,
53.95,-2.861187,,
54,-3.104345,,
54.05,-3.228859,,
54.1,-3.055285,,
54.15,-2.894318,,
54.2,-2.844334,,
54.25,-2.828421,,
54.3,-2.593112,,
54.35,-2.578068,,
54.4,-2.538604,,
54.45,-2.540322,,
54.5,-2.504931,,
54.55,-2.50824,,
54.6,-2.50491,,
54.65,-2.732035,,
54.7,-2.762136,,
54.75,-2.598305,,
54.8,-2.4333,,
54.85,-2.358148,,
54.9,-2.534237,,
54.95,-2.661243,,
55,-2.64327,,
55.05,-2.483765,,
55.1,-2.288041,,
55.15,-2.122092,,
55.2,-2.071045,,
55.25,-2.276624,,
55.3,-2.55862,,
55.35,-2.761294,,
55.4,-2.901626,,
55.45,-2.963276,,
55.5,-3.060272,,
55.55,-3.232234,,
55.6,-3.19971,,
55.65,-3.087098,,
55.7,-3.207747,,
55.75,-3.398173,,
55.8,-3.490691,,
55.85,-3.344203,,
55.9,-3.182068,,
55.95,-3.111009,,
56,-3.192279,,
56.05,-3.184437,,
56.1,-3.110471,,
56.15,-3.036416,,
56.2,-2.943752,,
56.25,-2.93106,,
56.3,-3.092059,,
56.35,-3.071662,,
56.4,-3.053952,,
56.45,-2.807654,,
56.5,-2.762474,,
56.55,-2.739216,,
56.6,-2.929352,,
56.65,-3.01618,,
56.7,-3.053213,,
56.75,-3.031976,,
56.8,-2.884585,,
56.85,-2.928446,,
56.9,-2.814378,,
56.95,-2.736708,,
57,-2.781018,,
57.05,-2.848805,,
57.1,-2.783562,,
57.15,-2.677456,,
57.2,-2.688437,,
57.25,-2.77406,,
57.3,-2.844779,,
57.35,-3.082024,,
57.4,-3.07833,,
57.45,-2.928766,,
57.5,-2.821239,,
57.55,-2.793417,,
57.6,-2.718924,,
57.65,-2.845938,,
57.7,-3.255113,,
57.75,-3.447297,,
57.8,-3.646567,,
57.85,-3.691374,,
57.9,-3.48654,,
57.95,-3.282171,,
58,-3.437658,,
58.05,-3.113734,,
58.1,-3.072343,,
58.15,-3.096759,,
58.2,-3.250816,,
58.25,-3.41929,,
58.3,-3.610107,,
58.35,-3.498287,,
58.4,-3.235808,,
58.45,-3.072677,,
58.5,-3.038967,,
58.55,-3.208092,,
58.6,-3.279722,,
58.65,-3.505128,,
58.7,-3.548819,,
58.75,-3.423212,,
58.8,-3.275785,,
58.85,-3.328025,,
58.9,-3.389575,,
58.95,-3.285129,,
59,-3.031049,,
59.05,-2.69635,,
59.1,-2.528873,,
59.15,-2.692529,,
59.2,-3.029146,,
59.25,-3.145097,,
59.3,-3.142492,,
59.35,-3.114512,,
59.4,-3.292974,,
59.45,-3.41689,,
59.5,-3.518901,,
59.55,-3.216209,,
59.6,-3.044251,,
59.65,-2.866488,,
59.7,-2.825819,,
59.75,-2.964376,,
59.8,-2.817088,,
59.85,-3.06914,,
59.9,-3.248396,,
59.95,-3.376267,,
60,-3.355281,,
60.05,-3.287551,,
60.1,-3.077537,,
60.15,-2.679248,,
60.2,-2.665064,,
60.25,-2.590493,,
60.3,-2.745589,,
60.35,-2.961699,,
60.4,-3.033135,,
60.45,-2.649363,,
60.5,-2.364204,,
60.55,-2.174885,,
