Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Thursday, February 02, 2017 10:30:54 PM"
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-5.172729E-02
32.05,-5.172729E-02
32.1,-5.172729E-02
32.15,-5.172729E-02
32.2,-5.172729E-02
32.25,-4.960899E-02
32.3,5.396877E-02
32.35,-0.0124587
32.4,-0.062549
32.45,-6.524143E-02
32.5,-6.579433E-02
32.55,-2.156489E-02
32.6,3.570922E-02
32.65,-7.014852E-03
32.7,-0.1473946
32.75,-0.1481035
32.8,-3.945018E-02
32.85,-6.373995E-02
32.9,3.256338E-02
32.95,0.1381847
33,0.1388155
33.05,0.1533224
33.1,0.2473029
33.15,0.1550411
33.2,-3.126774E-02
33.25,-8.885736E-02
33.3,-4.689205E-03
33.35,4.581814E-02
33.4,0.1343983
33.45,0.1515059
33.5,0.1934241
33.55,0.1794383
33.6,0.12799
33.65,0.2356056
33.7,0.2317902
33.75,9.443735E-02
33.8,6.456142E-03
33.85,4.119094E-02
33.9,3.508424E-02
33.95,9.092875E-02
34,0.2228533
34.05,7.323417E-02
34.1,-6.742907E-02
34.15,-0.2557734
34.2,-0.2534755
34.25,-0.296857
34.3,-0.1555926
34.35,-5.458231E-02
34.4,2.246137E-02
34.45,-5.910574E-02
34.5,-0.2647985
34.55,-0.3727877
34.6,-0.4971542
34.65,-0.6162267
34.7,-0.7199748
34.75,-0.6050296
34.8,-0.5369931
34.85,-0.2809629
34.9,-6.217925E-02
34.95,-0.1009321
35,-0.2646761
35.05,-0.3617631
35.1,-0.3858099
35.15,-0.3491004
35.2,-0.3632924
35.25,-0.4443794
35.3,-0.6155246
35.35,-0.6598902
35.4,-0.6600723
35.45,-0.6212817
35.5,-0.5082073
35.55,-0.4125364
35.6,-0.3052958
35.65,-0.1832506
35.7,-0.0588466
35.75,6.117909E-02
35.8,7.225334E-02
35.85,-4.423704E-02
35.9,-0.1905003
35.95,-0.2638011
36,-0.2207155
36.05,-0.2070454
36.1,-0.1294535
36.15,-7.371783E-02
36.2,-4.567711E-02
36.25,1.446819E-02
36.3,0.1216705
36.35,0.1440716
36.4,6.932402E-02
36.45,5.323224E-02
36.5,0.1418981
36.55,0.221097
36.6,0.2618026
36.65,0.2787889
36.7,0.2860648
36.75,0.2125807
36.8,0.1794536
36.85,0.2525599
36.9,0.3670737
36.95,0.3512525
37,0.3046693
37.05,0.2769867
37.1,0.3076055
37.15,0.4217242
37.2,0.4856429
37.25,0.6259037
37.3,0.7132881
37.35,0.7315598
37.4,0.7402726
37.45,0.6531233
37.5,0.5476316
37.55,0.4119277
37.6,0.4006854
37.65,0.4012344
37.7,0.3897132
37.75,0.4624574
37.8,0.5280088
37.85,0.6401584
37.9,0.7825182
37.95,0.7712403
38,0.7277116
38.05,0.5798205
38.1,0.4338157
38.15,0.4087851
38.2,0.4270422
38.25,0.6589347
38.3,0.6222774
38.35,0.6090902
38.4,0.4780118
38.45,0.5139711
38.5,0.6468747
38.55,0.6550927
38.6,0.6315972
38.65,0.5825095
38.7,0.5561976
38.75,0.6438758
38.8,0.8395137
38.85,0.9193258
38.9,0.8689338
38.95,0.8926445
39,0.8659481
39.05,0.8247207
39.1,0.7661517
39.15,0.7446693
39.2,0.7049514
39.25,0.7291187
39.3,0.776453
39.35,0.7990062
39.4,0.8280112
39.45,0.9085339
39.5,0.9756205
39.55,0.8720205
39.6,0.9235791
39.65,0.9299343
39.7,0.8145108
39.75,0.7148321
39.8,0.6605862
