Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Thursday, February 02, 2017 10:30:54 PM",,
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.100647,10,1228
32.05,0.100647,,
32.1,0.100647,,
32.15,0.100647,,
32.2,0.100647,,
32.25,0.1133285,,
32.3,0.1571503,,
32.35,0.1591754,,
32.4,0.1443084,,
32.45,8.97E-02,,
32.5,-5.88E-02,,
32.55,-0.1047378,,
32.6,-0.1756579,,
32.65,-0.1531933,,
32.7,-9.49E-02,,
32.75,-0.0778314,,
32.8,-7.60E-02,,
32.85,-5.14E-02,,
32.9,-3.06E-02,,
32.95,3.24E-02,,
33,9.19E-02,,
33.05,9.82E-02,,
33.1,1.95E-02,,
33.15,-4.28E-02,,
33.2,-0.1366026,,
33.25,-0.2273501,,
33.3,-0.2577201,,
33.35,-0.2789894,,
33.4,-0.4416054,,
33.45,-0.5363967,,
33.5,-0.5828522,,
33.55,-0.6796896,,
33.6,-0.7050102,,
33.65,-0.5499904,,
33.7,-0.3345554,,
33.75,-0.1550007,,
33.8,-0.1079955,,
33.85,-0.2283547,,
33.9,-0.5037357,,
33.95,-0.6618172,,
34,-0.6643552,,
34.05,-0.5821264,,
34.1,-0.4952325,,
34.15,-0.407123,,
34.2,-0.4284053,,
34.25,-0.372228,,
34.3,-0.3791522,,
34.35,-0.2240685,,
34.4,-0.1434196,,
34.45,-0.127001,,
34.5,-9.32E-02,,
34.55,-0.1479117,,
34.6,-0.2456795,,
34.65,-0.2635391,,
34.7,-0.2094704,,
34.75,-0.2023439,,
34.8,-0.2785759,,
34.85,-0.3105132,,
34.9,-0.3367178,,
34.95,-0.4099536,,
35,-0.3918809,,
35.05,-0.5220189,,
35.1,-0.6314238,,
35.15,-0.6205455,,
35.2,-0.5347024,,
35.25,-0.4178351,,
35.3,-0.4389624,,
35.35,-0.5251449,,
35.4,-0.5615457,,
35.45,-0.5715986,,
35.5,-0.5585002,,
35.55,-0.5987931,,
35.6,-0.6899531,,
35.65,-0.7671115,,
35.7,-0.7613057,,
35.75,-0.7629396,,
35.8,-0.7684889,,
35.85,-0.7463609,,
35.9,-0.7644613,,
35.95,-0.789554,,
36,-0.8775024,,
36.05,-0.9482145,,
36.1,-1.030384,,
36.15,-1.055367,,
36.2,-1.008705,,
36.25,-0.9985926,,
36.3,-0.9156656,,
36.35,-0.9392656,,
36.4,-1.028751,,
36.45,-1.06308,,
36.5,-1.05329,,
36.55,-1.047263,,
36.6,-1.129403,,
36.65,-1.140706,,
36.7,-1.150442,,
36.75,-1.124687,,
36.8,-1.0614,,
36.85,-0.9611547,,
36.9,-0.8919869,,
36.95,-0.8390208,,
37,-0.8206212,,
37.05,-0.7886072,,
37.1,-0.7754676,,
37.15,-0.8234513,,
37.2,-0.8032261,,
37.25,-0.7414645,,
37.3,-0.759481,,
37.35,-0.8445004,,
37.4,-0.850288,,
37.45,-0.8848673,,
37.5,-0.891541,,
37.55,-0.8616587,,
37.6,-0.8635255,,
37.65,-0.8415281,,
37.7,-0.8325021,,
37.75,-0.8664041,,
37.8,-0.9345884,,
37.85,-0.947825,,
37.9,-0.9491161,,
37.95,-0.9326786,,
38,-0.8895014,,
38.05,-0.7279713,,
38.1,-0.7571068,,
38.15,-0.7441223,,
38.2,-0.7165846,,
38.25,-0.7917796,,
38.3,-0.7914129,,
38.35,-0.9367247,,
