Data File Name,NK_SEQ_DEC122017_High Sensitivity DNA Assay_DE24802700_2017-12-12_11-57-18.xad,,
Data File Path,C:\Users\jlchiniquy\Downloads,,
Date Created,"Tuesday, December 12, 2017 7:57:18 PM",,
Date Last Modified,"Tuesday, December 12, 2017 9:25:02 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-9.79E-02,10,1583
32.05,-8.55E-02,,
32.1,-8.24E-02,,
32.15,-9.96E-02,,
32.2,-0.1366535,,
32.25,-0.1100705,,
32.3,-0.1027087,,
32.35,-1.54E-02,,
32.4,0.1595023,,
32.45,0.210473,,
32.5,0.1829987,,
32.55,0.1144787,,
32.6,-3.53E-03,,
32.65,-0.1314579,,
32.7,-0.2267745,,
32.75,-0.2446005,,
32.8,-0.2118472,,
32.85,-0.203716,,
32.9,-0.142647,,
32.95,-0.1045837,,
33,-0.1096561,,
33.05,-8.93E-02,,
33.1,-8.62E-02,,
33.15,-0.1230451,,
33.2,-0.1501589,,
33.25,-0.1821702,,
33.3,-0.2462286,,
33.35,-0.2778794,,
33.4,-0.2433954,,
33.45,-0.1685914,,
33.5,-0.161821,,
33.55,-0.1657612,,
33.6,-9.32E-02,,
33.65,-4.94E-02,,
33.7,-2.82E-02,,
33.75,1.98E-02,,
33.8,4.93E-02,,
33.85,4.79E-02,,
33.9,-3.08E-02,,
33.95,-0.1301949,,
34,-0.2237395,,
34.05,-0.319787,,
34.1,-0.3359788,,
34.15,-0.327928,,
34.2,-0.3293582,,
34.25,-0.3583374,,
34.3,-0.4175539,,
34.35,-0.4378032,,
34.4,-0.3975945,,
34.45,-0.2945345,,
34.5,-0.192489,,
34.55,-0.1653843,,
34.6,-0.1798232,,
34.65,-0.2300521,,
34.7,-0.3149297,,
34.75,-0.3804867,,
34.8,-0.4024535,,
34.85,-0.3702693,,
34.9,-0.330791,,
34.95,-0.2806174,,
35,-0.2300504,,
35.05,-0.2560389,,
35.1,-0.2965982,,
35.15,-0.2668126,,
35.2,-0.2088251,,
35.25,-0.1904037,,
35.3,-0.2302473,,
35.35,-0.2801043,,
35.4,-0.3669213,,
35.45,-0.4301155,,
35.5,-0.3754092,,
35.55,-0.3221301,,
35.6,-0.3432803,,
35.65,-0.3903976,,
35.7,-0.4316636,,
35.75,-0.5077516,,
35.8,-0.5445818,,
35.85,-0.4701692,,
35.9,-0.3622102,,
35.95,-0.2927089,,
36,-0.2484436,,
36.05,-0.2120706,,
36.1,-0.1607004,,
36.15,-0.1306545,,
36.2,-0.1272109,,
36.25,-0.1736242,,
36.3,-0.2965243,,
36.35,-0.4494318,,
36.4,-0.5612099,,
36.45,-0.609427,,
36.5,-0.5614242,,
36.55,-0.5453388,,
36.6,-0.5619295,,
36.65,-0.5593287,,
36.7,-0.5654157,,
36.75,-0.5825344,,
36.8,-0.5174647,,
36.85,-0.4279738,,
36.9,-0.3486624,,
36.95,-0.3243178,,
37,-0.3587816,,
37.05,-0.4385183,,
37.1,-0.4622118,,
37.15,-0.4793647,,
37.2,-0.4409171,,
37.25,-0.4623313,,
37.3,-0.4665593,,
37.35,-0.5149966,,
37.4,-0.5868539,,
37.45,-0.592254,,
37.5,-0.5543666,,
37.55,-0.542107,,
37.6,-0.5394641,,
37.65,-0.5399227,,
37.7,-0.4412656,,
37.75,-0.4216048,,
37.8,-0.429033,,
37.85,-0.4312234,,
37.9,-0.4223288,,
37.95,-0.3867607,,
38,-0.4152486,,
38.05,-0.4164476,,
38.1,-0.4164204,,
38.15,-0.4790354,,
38.2,-0.4906432,,
38.25,-0.483666,,
38.3,-0.5040614,,
38.35,-0.5322902,,
38.4,-0.5826623,,
38.45,-0.5689353,,
38.5,-0.5601079,,
38.55,-0.5324566,,
38.6,-0.4774292,,
38.65,-0.5218201,,
38.7,-0.5883911,,
38.75,-0.5357921,,
38.8,-0.4675306,,
38.85,-0.3962237,,
38.9,-0.3265895,,
38.95,-0.2532408,,
39,-0.2871151,,
39.05,-0.4329262,,
39.1,-0.5795229,,
39.15,-0.6287031,,
39.2,-0.7259763,,
39.25,-0.7250756,,
39.3,-0.6376584,,
39.35,-0.53307,,
39.4,-0.4358031,,
39.45,-0.4347731,,
39.5,-0.5001343,,
39.55,-0.5204794,,
39.6,-0.5907651,,
39.65,-0.5409645,,
39.7,-0.4920792,,
39.75,-0.4487525,,
39.8,-0.3970698,,
39.85,-0.3652619,,
39.9,-0.3540969,,
39.95,-0.3336443,,
40,-0.3565716,,
40.05,-0.416429,,
40.1,-0.4965703,,
40.15,-0.5041308,,
40.2,-0.511261,,
40.25,-0.482429,,
40.3,-0.3993602,,
40.35,-0.3515515,,
40.4,-0.3274501,,
40.45,-0.4000562,,
40.5,-0.376478,,
40.55,-0.3895656,,
40.6,-0.4138829,,
40.65,-0.4553883,,
40.7,-0.4255369,,
40.75,-0.4330228,,
40.8,-0.3689471,,
40.85,-0.299026,,
40.9,-0.2387005,,
40.95,-0.2206876,,
41,-0.2913609,,
41.05,-0.4148428,,
41.1,-0.4476868,,
41.15,-0.4843299,,
41.2,-0.4339047,,
41.25,-0.3751345,,
41.3,-0.3699012,,
41.35,-0.26836,,
41.4,-0.2961103,,
41.45,-0.2850642,,
41.5,-0.2798284,,
41.55,-0.32241,,
41.6,-0.354147,,
41.65,-0.3468869,,
41.7,-0.3162926,,
41.75,-0.2733616,,
41.8,-0.3368788,,
41.85,-0.2740158,,
41.9,-0.2539243,,
41.95,-0.2544312,,
42,-0.2318018,,
42.05,-0.2068827,,
42.1,-0.1896318,,
42.15,-0.1364668,,
42.2,-6.42E-02,,
42.25,-4.33E-03,,
42.3,0.0136002,,
42.35,4.56E-02,,
42.4,0.333331,,
42.45,0.9853309,,
42.5,2.468008,,
42.55,5.312707,,
42.6,10.04586,,
42.65,17.60691,,
42.7,28.09379,,
42.75,41.29192,,
42.8,56.38448,,
42.85,71.0118,,
42.9,83.72507,,
42.95,91.95557,,
43,94.23079,,
43.05,90.28005,,
43.1,80.93794,,
43.15,68.00283,,
43.2,53.63275,,
43.25,39.8779,,
43.3,28.43655,,
43.35,19.35729,,
43.4,12.87665,,
43.45,8.512598,,
43.5,5.675421,,
43.55,3.809337,,
43.6,2.652654,,
43.65,1.991574,,
43.7,1.565424,,
43.75,1.276098,,
43.8,1.156512,,
43.85,1.014196,,
43.9,0.8843454,,
43.95,0.7907528,,
44,0.7663297,,
44.05,0.722783,,
44.1,0.6121644,,
44.15,0.4442722,,
44.2,0.3925619,,
44.25,0.4151196,,
44.3,0.4402482,,
44.35,0.4466847,,
44.4,0.4889871,,
44.45,0.4013148,,
44.5,0.296403,,
44.55,0.2611504,,
44.6,0.2353014,,
44.65,0.2329421,,
44.7,0.2510567,,
44.75,0.331506,,
44.8,0.3796233,,
44.85,0.3676292,,
44.9,0.4191748,,
44.95,0.5389229,,
45,0.6208273,,
45.05,0.777287,,
45.1,0.9467763,,
45.15,1.105455,,
45.2,1.323398,,
45.25,1.59149,,
45.3,1.837672,,
45.35,2.044811,,
45.4,2.145517,,
45.45,2.197956,,
45.5,2.270206,,
45.55,2.340373,,
45.6,2.443213,,
45.65,2.530123,,
45.7,2.544508,,
45.75,2.577458,,
45.8,2.632594,,
45.85,2.665721,,
45.9,2.794778,,
45.95,2.929442,,
46,3.070217,,
46.05,3.143474,,
46.1,3.216954,,
46.15,3.275855,,
46.2,3.26354,,
46.25,3.162426,,
46.3,3.022003,,
46.35,2.811429,,
46.4,2.653013,,
46.45,2.524166,,
46.5,2.335599,,
46.55,2.022736,,
46.6,1.63264,,
46.65,1.315139,,
46.7,1.037746,,
46.75,0.9052804,,
46.8,0.8530235,,
46.85,0.7323604,,
46.9,0.6142043,,
46.95,0.4524386,,
47,0.3043852,,
47.05,0.2194251,,
47.1,0.1176642,,
47.15,9.45E-02,,
47.2,9.59E-02,,
47.25,9.42E-02,,
47.3,0.1369991,,
47.35,0.1811391,,
47.4,0.2131956,,
47.45,0.1814373,,
47.5,0.1019456,,
47.55,2.54E-02,,
47.6,1.45E-02,,
47.65,4.82E-02,,
47.7,0.1108683,,
47.75,0.1594182,,
47.8,0.1793032,,
47.85,0.2394725,,
47.9,0.3077361,,
47.95,0.3252366,,
48,0.3880618,,
48.05,0.3896193,,
48.1,0.3604184,,
48.15,0.3137714,,
48.2,0.2811033,,
48.25,0.2520152,,
48.3,0.2255122,,
48.35,0.2722208,,
48.4,0.3753596,,
48.45,0.4887677,,
48.5,0.6349296,,
48.55,0.7620152,,
48.6,0.8308895,,
48.65,0.890412,,
48.7,0.9175205,,
48.75,0.874869,,
48.8,0.7566635,,
48.85,0.6199073,,
48.9,0.4438683,,
48.95,0.3261762,,
49,0.3161305,,
49.05,0.3657046,,
49.1,0.3482641,,
49.15,0.2871884,,
49.2,0.1573706,,
49.25,5.69E-02,,
49.3,2.83E-02,,
49.35,4.91E-02,,
49.4,6.83E-02,,
49.45,1.59E-02,,
49.5,-0.1443826,,
49.55,-0.2936059,,
49.6,-0.3967148,,
49.65,-0.4508596,,
49.7,-0.4785477,,
49.75,-0.5139948,,
49.8,-0.5675709,,
49.85,-0.5724748,,
49.9,-0.569787,,
49.95,-0.5597824,,
50,-0.5612091,,
50.05,-0.5727797,,
50.1,-0.6152681,,
50.15,-0.6708195,,
50.2,-0.6732426,,
50.25,-0.6164646,,
50.3,-0.6067374,,
50.35,-0.6406223,,
50.4,-0.6903232,,
50.45,-0.7499432,,
50.5,-0.8132411,,
50.55,-0.8566525,,
50.6,-0.8394409,,
50.65,-0.7620753,,
50.7,-0.6804789,,
50.75,-0.5486223,,
50.8,-0.4241944,,
50.85,-0.3732676,,
50.9,-0.4121142,,
50.95,-0.4966749,,
51,-0.5265437,,
51.05,-0.5208158,,
51.1,-0.5360612,,
51.15,-0.5414786,,
51.2,-0.5695129,,
51.25,-0.6222491,,
51.3,-0.6391923,,
51.35,-0.5481999,,
51.4,-0.4530292,,
51.45,-0.4868018,,
51.5,-0.6198261,,
51.55,-0.7151973,,
51.6,-0.6993753,,
51.65,-0.6586522,,
51.7,-0.594226,,
51.75,-0.5355911,,
51.8,-0.5764222,,
51.85,-0.6721228,,
51.9,-0.7108246,,
51.95,-0.6281585,,
52,-0.5184627,,
52.05,-0.4953598,,
52.1,-0.5243707,,
52.15,-0.5842421,,
52.2,-0.6702325,,
52.25,-0.735546,,
52.3,-0.757061,,
52.35,-0.7570578,,
52.4,-0.7263846,,
52.45,-0.6587183,,
52.5,-0.6110345,,
52.55,-0.6223851,,
52.6,-0.6421887,,
52.65,-0.6261392,,
52.7,-0.6210812,,
52.75,-0.6348137,,
52.8,-0.6235994,,
52.85,-0.6194361,,
52.9,-0.6538507,,
52.95,-0.666945,,
53,-0.6192657,,
53.05,-0.5486835,,
53.1,-0.4978517,,
53.15,-0.4862653,,
53.2,-0.5230126,,
53.25,-0.601457,,
53.3,-0.661348,,
53.35,-0.6794623,,
53.4,-0.6705403,,
53.45,-0.6393158,,
53.5,-0.6356079,,
53.55,-0.6747937,,
53.6,-0.6929507,,
53.65,-0.7067356,,
53.7,-0.7240649,,
53.75,-0.7152729,,
53.8,-0.6608599,,
53.85,-0.5792478,,
53.9,-0.5454409,,
53.95,-0.544522,,
54,-0.5672144,,
54.05,-0.6365348,,
54.1,-0.752542,,
54.15,-0.8224292,,
54.2,-0.8512805,,
54.25,-0.8540429,,
54.3,-0.8344344,,
54.35,-0.7610697,,
54.4,-0.675761,,
54.45,-0.5891231,,
54.5,-0.5589873,,
54.55,-0.5990467,,
54.6,-0.6628234,,
54.65,-0.7366063,,
54.7,-0.7760835,,
