Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, September 01, 2016 6:31:05 PM"
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-0.3228455
32.05,-0.3228455
32.1,-0.3228455
32.15,-0.3228455
32.2,-0.3228455
32.25,-0.3228455
32.3,-0.3228455
32.35,-0.3228455
32.4,-0.3228455
32.45,-0.3228455
32.5,-0.3228455
32.55,-0.3228455
32.6,-0.3228455
32.65,-0.3228455
32.7,-0.3228455
32.75,-0.3228455
32.8,-0.3228455
32.85,-0.3228455
32.9,-0.3228455
32.95,-0.3228455
33,-0.3969272
33.05,-0.4068701
33.1,-0.2780228
33.15,-0.11271
33.2,-1.785868E-02
33.25,2.243274E-02
33.3,0.0799112
33.35,0.15891
33.4,0.1447365
33.45,9.270376E-02
33.5,1.373998E-02
33.55,-1.408104E-02
33.6,-4.429505E-02
33.65,0.027756
33.7,0.1723542
33.75,0.2340178
33.8,0.2802373
33.85,0.4049473
33.9,0.5400164
33.95,0.618188
34,0.5741078
34.05,0.5489521
34.1,0.3896028
34.15,0.3783948
34.2,0.3889344
34.25,0.4242057
34.3,0.4083934
34.35,0.2911179
34.4,0.2741356
34.45,0.2538839
34.5,0.2658966
34.55,0.2238621
34.6,5.923981E-02
34.65,-0.1445601
34.7,-0.3014679
34.75,-0.3309304
34.8,-0.2822123
34.85,-0.2701674
34.9,-0.2552263
34.95,-0.2394281
35,-0.1867593
35.05,-4.633389E-02
35.1,5.212533E-03
35.15,4.487602E-02
35.2,-1.515522E-02
35.25,-0.0483402
35.3,-6.404061E-03
35.35,3.858001E-02
35.4,0.118997
35.45,0.1456856
35.5,0.1327614
35.55,0.141947
35.6,0.1176151
35.65,0.1776312
35.7,0.1204192
35.75,0.1327903
35.8,0.1528016
35.85,0.1172965
35.9,0.2095761
35.95,0.3867598
36,0.6182579
36.05,0.6446363
36.1,0.5601943
36.15,0.4392517
36.2,0.2943074
36.25,0.2513489
36.3,0.2918494
36.35,0.3114673
36.4,0.3290882
36.45,0.3701021
36.5,0.457424
36.55,0.5358843
36.6,0.5527655
36.65,0.582849
36.7,0.4528455
36.75,0.3471231
36.8,0.1962505
36.85,0.0905539
36.9,0.1648453
36.95,0.3915584
37,0.5022372
37.05,0.4987379
37.1,0.4080114
37.15,0.3207217
37.2,0.1573156
37.25,0.2166359
37.3,0.2251772
37.35,0.296072
37.4,0.2971749
37.45,0.3181088
37.5,0.3371881
37.55,0.3661983
37.6,0.3844559
37.65,0.2751042
37.7,0.1935255
37.75,0.17264
37.8,0.1862967
37.85,0.3416837
37.9,0.4882014
37.95,0.5041998
38,0.4717182
38.05,0.4076181
38.1,0.3297681
38.15,0.2940979
38.2,0.3505409
38.25,0.3814199
38.3,0.395214
38.35,0.5203658
38.4,0.6507141
38.45,0.6234994
38.5,0.5895623
38.55,0.4790253
38.6,0.3868482
38.65,0.2937459
38.7,0.3320445
38.75,0.4778203
38.8,0.5218628
38.85,0.4977188
38.9,0.3675911
38.95,0.197979
39,7.545117E-02
39.05,4.129647E-02
39.1,0.1200779
39.15,0.2207271
39.2,0.2504083
39.25,0.1395894
39.3,-1.293602E-02
39.35,-5.966263E-02
39.4,-0.1281276
39.45,-0.1298441
39.5,-0.1635631
39.55,-0.2241162
39.6,-0.2291917
39.65,-0.2626936
39.7,-0.2730635
39.75,-0.2587059
39.8,-0.3140264
39.85,-0.2678018
39.9,-0.2788298
39.95,-0.226062
40,-0.1707744
40.05,-0.2787124
40.1,-0.3898679
40.15,-0.392298
40.2,-0.4393116
40.25,-0.3734544
40.3,-0.2502589
40.35,-0.1418207
40.4,-9.014317E-02
40.45,-0.1638526
40.5,-0.2054015
40.55,-0.2831103
40.6,-0.2865292
40.65,-0.2535616
40.7,-0.1982432
40.75,-0.1902703
40.8,-0.1980436
40.85,-0.2061864
40.9,-0.1948676
40.95,-0.1848791
41,-0.1606503
41.05,-0.1039245
41.1,-6.410682E-02
41.15,-5.018944E-02
41.2,-0.1291714
41.25,-0.171133
41.3,-0.2288509
41.35,-0.3789947
41.4,-0.2886217
41.45,-0.288196
41.5,-0.2711509
41.55,-0.2909759
41.6,-0.2971462
41.65,-0.3353454
41.7,-0.4045387
41.75,-0.4246936
41.8,-0.3830933
41.85,-0.3793449
41.9,-0.2592866
41.95,-0.2584159
42,-0.3599876
42.05,-0.5267116
42.1,-0.5863304
42.15,-0.5996937
42.2,-0.6487819
42.25,-0.7008092
42.3,-0.7473896
42.35,-0.820984
42.4,-0.7727607
42.45,-0.4908422
42.5,0.1806241
42.55,1.569109
42.6,4.435227
42.65,9.679157
42.7,17.91882
42.75,29.27101
42.8,43.29724
42.85,58.1159
42.9,71.39239
42.95,79.82135
43,81.15097
43.05,74.96072
43.1,62.99812
43.15,48.03595
43.2,33.26229
43.25,20.93919
43.3,12.17564
43.35,6.66384
43.4,3.843012
43.45,2.737227
43.5,2.370819
43.55,2.168941
43.6,2.027057
43.65,1.8917
43.7,1.755125
43.75,1.599986
43.8,1.414914
43.85,1.204534
43.9,0.9484197
43.95,0.8157564
44,0.7222962
44.05,0.6643961
44.1,0.5986864
44.15,0.4701516
44.2,0.3845316
44.25,0.2850869
44.3,0.1644753
44.35,0.1661959
