Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, September 01, 2016 6:31:05 PM",,
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.1035156,6.7,1393
32.05,0.1035156,,
32.1,0.1035156,,
32.15,0.1035156,,
32.2,0.1035156,,
32.25,0.1035156,,
32.3,0.1035156,,
32.35,0.1035156,,
32.4,0.1035156,,
32.45,0.1035156,,
32.5,0.1035156,,
32.55,0.1035156,,
32.6,0.1035156,,
32.65,0.1035156,,
32.7,0.1035156,,
32.75,0.1035156,,
32.8,0.1035156,,
32.85,0.1035156,,
32.9,0.1035156,,
32.95,0.1432507,,
33,0.1893664,,
33.05,0.1683518,,
33.1,5.45E-02,,
33.15,-2.66E-03,,
33.2,-2.32E-02,,
33.25,-1.72E-02,,
33.3,2.81E-02,,
33.35,3.31E-02,,
33.4,1.01E-02,,
33.45,-5.79E-02,,
33.5,-5.18E-02,,
33.55,-3.38E-02,,
33.6,-6.45E-02,,
33.65,1.93E-02,,
33.7,-5.91E-03,,
33.75,-6.41E-02,,
33.8,-0.140274,,
33.85,-0.1970849,,
33.9,-0.2296622,,
33.95,-0.3525566,,
34,-0.3155225,,
34.05,-0.288604,,
34.1,-0.3104407,,
34.15,-0.3273395,,
34.2,-0.3790897,,
34.25,1.00E-02,,
34.3,0.1748985,,
34.35,0.2080335,,
34.4,0.1469313,,
34.45,-7.71E-02,,
34.5,-0.1972091,,
34.55,-0.36979,,
34.6,-0.362244,,
34.65,-0.1908334,,
34.7,-0.2274023,,
34.75,-0.2330822,,
34.8,-0.1955958,,
34.85,-8.22E-02,,
34.9,8.15E-02,,
34.95,0.1590488,,
35,0.160087,,
35.05,0.0830264,,
35.1,-0.0813963,,
35.15,-0.2603789,,
35.2,-0.3014496,,
35.25,-0.228149,,
35.3,-0.228871,,
35.35,-0.3001167,,
35.4,-0.4400771,,
35.45,-0.5571041,,
35.5,-0.5609202,,
35.55,-0.412115,,
35.6,-0.2037669,,
35.65,-0.1515601,,
35.7,-0.1737536,,
35.75,-0.1866823,,
35.8,-0.1901233,,
35.85,-0.1932661,,
35.9,-0.1056052,,
35.95,-0.1445958,,
36,-0.3076284,,
36.05,-0.5213226,,
36.1,-0.6026764,,
36.15,-0.5928529,,
36.2,-0.669727,,
36.25,-0.6486642,,
36.3,-0.5884101,,
36.35,-0.5913321,,
36.4,-0.5243326,,
36.45,-0.5492519,,
36.5,-0.5107343,,
36.55,-0.4764228,,
36.6,-0.5524298,,
36.65,-0.5323486,,
36.7,-0.6208314,,
36.75,-0.5505002,,
36.8,-0.6303475,,
36.85,-0.6970736,,
36.9,-0.5065767,,
36.95,-0.2527448,,
37,-0.1962786,,
37.05,-0.2106109,,
37.1,-0.3065898,,
37.15,-0.4374444,,
37.2,-0.5700913,,
37.25,-0.5415312,,
37.3,-0.4582613,,
37.35,-0.4494626,,
37.4,-0.5029358,,
37.45,-0.4898768,,
37.5,-0.4103524,,
37.55,-0.3684243,,
37.6,-0.3654368,,
37.65,-0.4226448,,
37.7,-0.4609942,,
37.75,-0.41271,,
37.8,-0.3406022,,
37.85,-0.2304529,,
37.9,-0.2139468,,
37.95,-0.2452745,,
38,-0.2853191,,
38.05,-0.3901718,,
38.1,-0.4418318,,
38.15,-0.4917055,,
38.2,-0.5370966,,
38.25,-0.5993217,,
38.3,-0.6115741,,
38.35,-0.4666099,,
38.4,-0.3688538,,
38.45,-0.3778765,,
38.5,-0.4620651,,
38.55,-0.6114257,,
38.6,-0.6915187,,
38.65,-0.8202228,,
38.7,-0.6901661,,
38.75,-0.6571602,,
38.8,-0.7554223,,
38.85,-0.8910941,,
38.9,-0.9936346,,
38.95,-1.048088,,
39,-1.164727,,
39.05,-1.14062,,
39.1,-0.9289446,,
39.15,-0.8060322,,
39.2,-0.6496283,,
39.25,-0.5967099,,
39.3,-0.6371295,,
39.35,-0.8042626,,
39.4,-0.9646676,,
39.45,-0.9948153,,
39.5,-0.9520991,,
39.55,-0.9393877,,
39.6,-0.9210292,,
39.65,-0.8601466,,
39.7,-0.7695318,,
39.75,-0.7265031,,
39.8,-0.7154436,,
39.85,-0.6919052,,
39.9,-0.7221155,,
39.95,-0.694304,,
40,-0.6068879,,
40.05,-0.4908501,,
40.1,-0.3549652,,
40.15,-0.3647928,,
40.2,-0.4942062,,
40.25,-0.6135408,,
40.3,-0.7195876,,
40.35,-0.7455553,,
40.4,-0.7481874,,
40.45,-0.6373175,,
40.5,-0.5833942,,
40.55,-0.606375,,
40.6,-0.5978032,,
40.65,-0.6210176,,
40.7,-0.7982232,,
40.75,-0.8074716,,
40.8,-0.8601109,,
40.85,-0.8487726,,
40.9,-0.8244399,,
40.95,-0.7172713,,
41,-0.6888618,,
41.05,-0.7386286,,
41.1,-0.7867884,,
41.15,-0.7780262,,
41.2,-0.8700452,,
41.25,-0.8974281,,
41.3,-0.7254027,,
41.35,-0.5198359,,
41.4,-0.4749533,,
41.45,-0.6013306,,
41.5,-0.7511554,,
41.55,-0.986617,,
41.6,-1.202379,,
41.65,-1.199613,,
41.7,-1.135988,,
