Data File Name,NexteraRPT_jlc_High Sensitivity DNA Assay_DE24802700_2016-08-25_11-16-11.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,
Date Created,"Thursday, August 25, 2016 6:16:11 PM",,
Date Last Modified,"Friday, August 26, 2016 10:27:07 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.4450989,6.3,1335
32.05,0.4450989,,
32.1,0.4450989,,
32.15,0.4450989,,
32.2,0.4450989,,
32.25,0.4450989,,
32.3,0.4450989,,
32.35,0.4450989,,
32.4,0.4450989,,
32.45,0.4450989,,
32.5,0.4450989,,
32.55,0.4450989,,
32.6,0.4450989,,
32.65,0.4450989,,
32.7,0.4450989,,
32.75,0.4450989,,
32.8,0.4450989,,
32.85,0.4450989,,
32.9,0.4450989,,
32.95,0.4450989,,
33,0.4450989,,
33.05,0.4450989,,
33.1,0.4450989,,
33.15,0.4450989,,
33.2,0.4450989,,
33.25,0.4450989,,
33.3,0.4450989,,
33.35,0.4450989,,
33.4,0.4450989,,
33.45,0.4450989,,
33.5,0.4450989,,
33.55,0.4450989,,
33.6,0.4450989,,
33.65,0.4450989,,
33.7,0.4450989,,
33.75,0.3644605,,
33.8,0.2086871,,
33.85,0.0454412,,
33.9,-5.63E-02,,
33.95,-5.20E-02,,
34,-2.23E-03,,
34.05,7.10E-02,,
34.1,0.1706839,,
34.15,0.1764036,,
34.2,6.34E-02,,
34.25,-4.13E-02,,
34.3,-4.27E-02,,
34.35,1.32E-02,,
34.4,3.05E-02,,
34.45,-3.23E-02,,
34.5,-0.1394104,,
34.55,-0.2251996,,
34.6,-0.2711433,,
34.65,-0.1813187,,
34.7,-1.67E-02,,
34.75,8.34E-02,,
34.8,0.1149184,,
34.85,0.1350814,,
34.9,0.156615,,
34.95,0.1396702,,
35,2.60E-02,,
35.05,-0.1138947,,
35.1,-0.2015613,,
35.15,-0.2315354,,
35.2,-8.48E-02,,
35.25,0.1374808,,
35.3,0.2297919,,
35.35,0.1799737,,
35.4,4.10E-02,,
35.45,-4.09E-02,,
35.5,-0.2054443,,
35.55,-0.1137224,,
35.6,-8.61E-03,,
35.65,0.1364093,,
35.7,0.1608838,,
35.75,0.1923327,,
35.8,0.2299728,,
35.85,0.3143526,,
35.9,0.2650903,,
35.95,0.3446199,,
36,0.3858761,,
36.05,0.3767262,,
36.1,0.397882,,
36.15,0.3904965,,
36.2,0.4535022,,
36.25,0.6073937,,
36.3,0.6787446,,
36.35,0.7157283,,
36.4,0.7781934,,
36.45,0.7401529,,
36.5,0.6550049,,
36.55,0.4810493,,
36.6,0.256974,,
36.65,0.1194022,,
36.7,1.06E-03,,
36.75,-5.23E-02,,
36.8,2.84E-02,,
36.85,0.1374396,,
36.9,0.1813599,,
36.95,0.1063833,,
37,-1.62E-03,,
37.05,3.76E-02,,
37.1,0.1350914,,
37.15,0.1086486,,
37.2,0.1165454,,
37.25,9.77E-02,,
37.3,2.31E-02,,
37.35,-3.92E-02,,
37.4,-7.85E-02,,
37.45,-0.1557091,,
37.5,8.45E-02,,
37.55,0.4296656,,
37.6,0.8729639,,
37.65,0.9346847,,
37.7,0.7890796,,
37.75,0.5667066,,
37.8,0.1436927,,
37.85,-0.1439928,,
37.9,-2.29E-02,,
37.95,0.0418893,,
38,8.48E-02,,
38.05,-3.78E-02,,
38.1,1.69E-02,,
38.15,0.1692386,,
38.2,0.2094055,,
38.25,0.2833924,,
38.3,0.3121873,,
38.35,0.2761919,,
38.4,0.168584,,
38.45,0.0404908,,
38.5,0.1103742,,
38.55,0.2572121,,
38.6,0.2703854,,
38.65,0.2915083,,
38.7,0.2485522,,
38.75,0.1857963,,
38.8,0.0667394,,
38.85,3.41E-02,,
38.9,0.1603137,,
38.95,0.2352388,,
39,0.1740328,,
39.05,2.82E-02,,
39.1,-0.1381444,,
39.15,-0.2266847,,
39.2,-0.2389417,,
39.25,-0.1435465,,
39.3,5.09E-03,,
39.35,4.58E-02,,
39.4,-3.43E-02,,
39.45,-0.2034227,,
39.5,-0.3639587,,
39.55,-0.3726367,,
39.6,-0.2466469,,
39.65,-0.1225107,,
39.7,-0.1356531,,
39.75,-0.2127087,,
39.8,-0.3047927,,
39.85,-0.4642556,,
39.9,-0.4954797,,
39.95,-0.4179767,,
40,-0.2479919,,
40.05,-0.1168575,,
40.1,-0.1227334,,
40.15,-3.29E-02,,
40.2,-1.14E-02,,
40.25,-9.65E-02,,
40.3,-0.1875706,,
40.35,-0.270961,,
40.4,-0.247196,,
40.45,-0.1950492,,
40.5,-0.1836243,,
40.55,-5.59E-02,,
40.6,-5.57E-02,,
40.65,-0.115372,,
40.7,-0.1379541,,
40.75,-9.37E-02,,
