Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Tuesday, November 14, 2017 6:57:20 PM"
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-0.1017761
32.05,-0.1017761
32.1,-0.1017761
32.15,-0.1017761
32.2,-0.1017761
32.25,-0.1017761
32.3,-0.1017761
32.35,-0.1017761
32.4,-0.1017761
32.45,-0.1017761
32.5,-0.1017761
32.55,-0.1017761
32.6,-0.1017761
32.65,-0.1017761
32.7,-0.1017761
32.75,-0.1017761
32.8,-0.1017761
32.85,-0.1017761
32.9,-0.1017761
32.95,-0.1017761
33,-0.1017761
33.05,-0.1017761
33.1,-0.1017761
33.15,-0.1017761
33.2,-0.1017761
33.25,-0.1017761
33.3,-0.1017761
33.35,-0.1017761
33.4,-0.1099709
33.45,-9.048858E-02
33.5,-4.244795E-02
33.55,-1.129359E-02
33.6,8.484447E-03
33.65,4.796878E-02
33.7,7.694522E-02
33.75,6.728598E-02
33.8,3.835261E-02
33.85,5.416344E-03
33.9,1.518871E-02
33.95,1.859102E-02
34,-6.515503E-03
34.05,4.196807E-03
34.1,-0.027758
34.15,0.0210161
34.2,5.243916E-02
34.25,4.636737E-02
34.3,-2.664652E-03
34.35,-3.102412E-02
34.4,-3.654181E-02
34.45,-3.135557E-02
34.5,2.206012E-02
34.55,0.0937284
34.6,0.1150754
34.65,9.093242E-02
34.7,5.358192E-02
34.75,3.819875E-02
34.8,7.196403E-02
34.85,7.892581E-02
34.9,3.769416E-02
34.95,4.796565E-02
35,-4.986572E-02
35.05,6.870383E-03
35.1,0.1047356
35.15,0.1684336
35.2,0.2192917
35.25,0.1566564
35.3,6.485068E-02
35.35,-2.892038E-02
35.4,-0.1503776
35.45,-0.1416813
35.5,-9.362075E-02
35.55,-0.1045642
35.6,-0.1186465
35.65,-0.1268232
35.7,-9.921907E-02
35.75,-5.228016E-02
35.8,-4.312359E-02
35.85,-2.646418E-02
35.9,-7.051688E-02
35.95,-0.1883297
36,-9.104919E-02
36.05,-2.222369E-02
36.1,3.281431E-02
36.15,4.743923E-02
36.2,2.561793E-03
36.25,-3.379118E-02
36.3,-5.793168E-02
36.35,-2.972203E-02
36.4,5.975719E-02
36.45,0.1055175
36.5,6.702152E-02
36.55,2.658751E-02
36.6,1.292383E-02
36.65,6.502102E-03
36.7,0.0131526
36.75,-0.0162943
36.8,-4.322249E-02
36.85,-0.0461306
36.9,1.059333E-02
36.95,0.0413107
37,9.213257E-02
37.05,0.1418673
37.1,0.1716073
37.15,0.2053748
37.2,0.2270239
37.25,0.2611091
37.3,0.2654251
37.35,0.2110835
37.4,0.1533327
37.45,0.1239845
37.5,9.075743E-02
37.55,6.911719E-02
37.6,7.089223E-02
37.65,6.571561E-02
37.7,7.427893E-02
37.75,0.1033524
37.8,0.1253349
37.85,0.1509923
37.9,0.1696389
37.95,0.1391424
38,0.1193848
38.05,8.091322E-02
38.1,7.328505E-02
38.15,7.922547E-02
38.2,5.010876E-02
38.25,4.921357E-02
38.3,0.0466949
38.35,1.936126E-02
38.4,5.334434E-03
38.45,9.035832E-03
38.5,5.089849E-02
38.55,0.1187196
38.6,0.1427913
38.65,0.1251052
38.7,0.1103088
38.75,6.598505E-02
38.8,1.735767E-02
38.85,-4.160444E-02
38.9,-8.122394E-04
38.95,0.1073688
39,0.1338959
39.05,7.314447E-02
39.1,6.286028E-02
39.15,9.303352E-02
39.2,9.465013E-02
39.25,0.1631563
39.3,0.2357854
39.35,0.2313798
39.4,0.1634866
39.45,0.0945086
39.5,6.182057E-02
39.55,0.1010455
39.6,0.1646884
39.65,0.1987991
39.7,0.2395206
39.75,0.2314436
39.8,0.1965454
39.85,0.2023461
39.9,0.2382668
39.95,0.2703199
40,0.2531281
40.05,0.2074521
40.1,0.188953
40.15,0.1700302
40.2,0.1631499
40.25,0.2124837
40.3,0.2373978
40.35,0.2181978
40.4,0.1688868
40.45,0.166692
40.5,0.1699284
40.55,0.1373594
40.6,0.1243899
40.65,0.1301499
40.7,0.134034
40.75,0.1740378
40.8,0.1828122
40.85,0.1935802
40.9,0.1942441
40.95,0.1150187
41,7.063293E-02
41.05,0.1022335
41.1,0.1608873
41.15,0.1735118
41.2,0.1681272
41.25,0.272948
41.3,0.3317324
41.35,0.3790129
41.4,0.4326326
41.45,0.4851008
41.5,0.500625
41.55,0.4327771
41.6,0.3505245
41.65,0.3484237
41.7,0.3709438
41.75,0.3909245
41.8,0.4732051
41.85,0.4882319
41.9,0.4950032
41.95,0.4471141
42,0.4019165
42.05,0.4090919
42.1,0.379972
42.15,0.3010882
42.2,0.2490281
42.25,0.182654
42.3,0.2109578
42.35,0.3134075
42.4,0.5830967
42.45,1.089614
42.5,2.109512
42.55,4.432753
42.6,9.16022
42.65,17.25064
42.7,29.27339
42.75,45.20189
42.8,63.98384
42.85,83.41312
42.9,100.2591
42.95,111.0633
