Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Tuesday, November 14, 2017 6:57:20 PM",,
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.113205,8.75,1613
32.05,0.113205,,
32.1,0.113205,,
32.15,0.113205,,
32.2,0.113205,,
32.25,0.113205,,
32.3,0.113205,,
32.35,0.113205,,
32.4,0.113205,,
32.45,0.113205,,
32.5,0.113205,,
32.55,0.113205,,
32.6,0.113205,,
32.65,0.113205,,
32.7,0.113205,,
32.75,0.113205,,
32.8,0.113205,,
32.85,0.113205,,
32.9,0.113205,,
32.95,0.113205,,
33,0.113205,,
33.05,0.113205,,
33.1,0.113205,,
33.15,0.113205,,
33.2,0.113205,,
33.25,0.113205,,
33.3,0.113205,,
33.35,0.1431251,,
33.4,0.148579,,
33.45,0.1056122,,
33.5,3.67E-02,,
33.55,-1.65E-02,,
33.6,-4.01E-02,,
33.65,-4.33E-02,,
33.7,0.0239194,,
33.75,2.34E-02,,
33.8,-3.32E-02,,
33.85,-8.51E-02,,
33.9,-0.141097,,
33.95,-0.1566916,,
34,-0.1221235,,
34.05,-0.0599182,,
34.1,2.17E-02,,
34.15,9.41E-02,,
34.2,0.1075147,,
34.25,6.93E-02,,
34.3,2.21E-02,,
34.35,-2.60E-02,,
34.4,-4.56E-02,,
34.45,-7.34E-02,,
34.5,-0.165318,,
34.55,-0.1946404,,
34.6,-0.1346205,,
34.65,-0.149708,,
34.7,-0.1386085,,
34.75,-0.1440427,,
34.8,-0.112182,,
34.85,-0.1333157,,
34.9,-0.1872846,,
34.95,-0.1679527,,
35,-9.80E-02,,
35.05,-7.69E-02,,
35.1,-0.1383612,,
35.15,-0.247412,,
35.2,-0.3828498,,
35.25,-0.4169106,,
35.3,-0.4165848,,
35.35,-0.2431013,,
35.4,-0.1072482,,
35.45,-4.09E-02,,
35.5,-3.29E-02,,
35.55,-0.1053315,,
35.6,-0.2033748,,
35.65,-0.2496603,,
35.7,-0.2282966,,
35.75,-0.1746138,,
35.8,-0.1434184,,
35.85,-0.1003148,,
35.9,-9.57E-02,,
35.95,-0.1268412,,
36,-0.2065917,,
36.05,-0.2299116,,
36.1,-3.02E-02,,
36.15,0.3358878,,
36.2,0.7185319,,
36.25,0.9732177,,
36.3,0.953061,,
36.35,0.6564967,,
36.4,0.2454743,,
36.45,-0.10347,,
36.5,-0.2761898,,
36.55,-0.2909711,,
36.6,-0.2022925,,
36.65,-0.1262723,,
36.7,-0.1171831,,
36.75,-0.1526301,,
36.8,-9.34E-02,,
36.85,0.0278033,,
36.9,0.102098,,
36.95,0.1092941,,
37,9.47E-02,,
37.05,3.64E-02,,
37.1,-7.77E-02,,
37.15,-0.1902682,,
37.2,-0.3028372,,
37.25,-0.3793405,,
37.3,-0.3715339,,
37.35,-0.3421689,,
37.4,-0.2872496,,
37.45,-0.2169552,,
37.5,-0.1166255,,
37.55,-6.63E-02,,
37.6,-0.1018151,,
37.65,-0.1376206,,
37.7,-0.1567212,,
37.75,-0.1765188,,
37.8,-0.1978467,,
37.85,-0.2059867,,
37.9,-0.1592986,,
37.95,-0.1012423,,
38,-0.1651073,,
38.05,-0.2100643,,
38.1,-0.2255479,,
38.15,-0.2397216,,
38.2,-0.2599489,,
38.25,-0.3339487,,
38.3,-0.3427735,,
38.35,-0.3410046,,
38.4,-0.3781123,,
38.45,-0.3854908,,
38.5,-0.3395106,,
38.55,-0.2967255,,
38.6,-0.2403445,,
38.65,-0.1565803,,
38.7,-9.89E-02,,
38.75,-0.0648205,,
38.8,-7.42E-02,,
38.85,-3.62E-02,,
38.9,-1.15E-02,,
38.95,4.80E-03,,
39,2.00E-02,,
39.05,3.02E-02,,
39.1,-1.24E-02,,
39.15,-8.49E-02,,
39.2,-0.1281801,,
39.25,-0.1516584,,
39.3,-0.2056108,,
39.35,-0.2925167,,
39.4,-0.3082667,,
39.45,-0.2473787,,
39.5,-0.1776598,,
39.55,-0.1037906,,
39.6,-2.24E-02,,
39.65,3.64E-02,,
39.7,9.01E-03,,
39.75,-3.10E-02,,
39.8,-4.76E-03,,
39.85,0.0397864,,
39.9,-1.89E-02,,
39.95,-0.1771565,,
40,-0.3163045,,
40.05,-0.4446086,,
40.1,-0.499673,,
40.15,-0.511292,,
40.2,-0.3611951,,
40.25,-0.2788855,,
40.3,-0.3529621,,
40.35,-0.4091538,,
40.4,-0.4439811,,
40.45,-0.4600808,,
40.5,-0.4131029,,
40.55,-0.3590885,,
40.6,-0.3167005,,
40.65,-0.244248,,
40.7,-0.1745555,,
40.75,-0.1056419,,
40.8,-0.0223103,,
40.85,-4.93E-02,,
40.9,-2.33E-02,,
40.95,-7.79E-02,,
41,-0.1619356,,
41.05,-0.1450377,,
