Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-08-22_12-14-49.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal
Date Created,"Tuesday, August 22, 2017 7:13:07 PM"
Date Last Modified,"Monday, August 28, 2017 7:52:30 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.1376801
32.05,0.1376801
32.1,0.1376801
32.15,0.1376801
32.2,0.1376801
32.25,0.1376801
32.3,0.1376801
32.35,0.1376801
32.4,0.1376801
32.45,0.1376801
32.5,0.1376801
32.55,0.1376801
32.6,0.1376801
32.65,0.1376801
32.7,0.1376801
32.75,0.1376801
32.8,0.1376801
32.85,0.1376801
32.9,0.1376801
32.95,0.1376801
33,0.1376801
33.05,0.1376801
33.1,0.1376801
33.15,0.1376801
33.2,0.1376801
33.25,0.1376801
33.3,0.1376801
33.35,0.1376801
33.4,0.1041047
33.45,3.922039E-02
33.5,-8.082949E-02
33.55,-0.1641238
33.6,-0.1556241
33.65,-0.1097119
33.7,4.557698E-03
33.75,6.692822E-02
33.8,7.412282E-02
33.85,3.986164E-02
33.9,-2.781562E-02
33.95,-6.424543E-02
34,-4.597994E-02
34.05,2.492349E-02
34.1,8.143459E-02
34.15,7.871278E-02
34.2,5.170123E-02
34.25,-2.336303E-04
34.3,-2.040209E-02
34.35,-0.0242142
34.4,-6.811503E-02
34.45,-0.1198504
34.5,-0.1867051
34.55,-0.2350627
34.6,-0.2538994
34.65,-0.2494091
34.7,-0.2098715
34.75,-0.1724744
34.8,-0.1567845
34.85,-0.1243375
34.9,-9.806488E-02
34.95,-0.0929531
35,-0.141272
35.05,-0.1956559
35.1,-0.2512332
35.15,-0.2056489
35.2,-0.1536264
35.25,-0.1301904
35.3,-0.1636341
35.35,-0.1883145
35.4,-0.1576974
35.45,-0.1232379
35.5,-8.426922E-02
35.55,-5.182457E-02
35.6,-2.513165E-02
35.65,1.216855E-02
35.7,6.160284E-04
35.75,2.041607E-02
35.8,-9.979721E-04
35.85,-8.656732E-02
35.9,-9.806471E-02
35.95,-9.050648E-02
36,-0.0425415
36.05,-0.1049306
36.1,-0.1793502
36.15,-0.2388858
36.2,-0.3124389
36.25,-0.2704388
36.3,-0.2195
36.35,-0.1353398
36.4,-7.834087E-02
36.45,-0.0565315
36.5,-7.722696E-03
36.55,-1.788407E-02
36.6,-8.293256E-02
36.65,-0.1733999
36.7,-0.3086778
36.75,-0.2965702
36.8,-0.3011024
36.85,-0.272658
36.9,-0.2070021
36.95,-0.2492031
37,-0.1879848
37.05,-0.2052442
37.1,-0.2386532
37.15,-0.2339837
37.2,-0.297922
37.25,-0.3691153
37.3,-0.4101058
37.35,-0.4690349
37.4,-0.4497327
37.45,-0.4367576
37.5,-0.4144104
37.55,-0.367894
37.6,-0.3413715
37.65,-0.3382857
37.7,-0.3065938
37.75,-0.2649541
37.8,-0.2358875
37.85,-0.181004
37.9,-0.1404237
37.95,-0.1390473
38,-0.1675279
38.05,-0.2245455
38.1,-0.2603125
38.15,-0.2679733
38.2,-0.2628839
38.25,-0.1802592
38.3,-9.297424E-02
38.35,-4.662761E-02
38.4,-6.054094E-02
38.45,-0.1289468
38.5,-0.1923652
38.55,-0.231297
38.6,-0.3258066
38.65,-0.3916976
38.7,-0.3922302
38.75,-0.3500521
38.8,-0.3313982
38.85,-0.2591392
38.9,-0.1235554
38.95,-5.808825E-02
39,-0.1363491
39.05,-0.1688898
39.1,-0.2229121
39.15,-0.3073162
39.2,-0.3548861
39.25,-0.3596616
39.3,-0.2627773
39.35,-0.2171419
39.4,-0.2427049
39.45,-0.236201
39.5,-0.3632202
39.55,-0.3321761
39.6,-0.2765156
39.65,-0.2296418
39.7,-0.1941664
39.75,-0.1649774
39.8,-0.1790284
39.85,-0.1732637
39.9,-0.2476775
39.95,-0.1995854
40,-0.2126609
40.05,-0.1902719
40.1,-0.1683955
40.15,-0.1392498
40.2,-0.1521095
40.25,-0.1183607
40.3,-0.178466
40.35,-0.1755081
40.4,-0.1683001
40.45,-0.1315697
40.5,-9.349024E-02
40.55,-4.512426E-02
40.6,-1.109277E-02
40.65,-1.757924E-02
40.7,-8.157766E-02
40.75,-7.123599E-02
40.8,-5.163353E-02
40.85,-7.392383E-02
40.9,-0.0844361
40.95,-0.1424093
41,-0.2546927
41.05,-0.3198732
41.1,-0.318009
41.15,-0.2736561
41.2,-0.2809035
41.25,-0.3294058
41.3,-0.3367375
41.35,-0.3802226
41.4,-0.4299113
41.45,-0.4050736
41.5,-0.3762056
41.55,-0.3667727
41.6,-0.3863279
41.65,-0.4142971
41.7,-0.4095787
41.75,-0.4135611
41.8,-0.3931317
41.85,-0.3733685
41.9,-0.4121869
41.95,-0.4306381
42,-0.4216246
42.05,-0.394983
42.1,-0.3452514
42.15,-0.2284873
42.2,-0.15651
42.25,-0.1399936
42.3,-0.1525019
42.35,-0.1417063
42.4,4.509351E-02
42.45,0.6117107
42.5,2.080127
42.55,5.348653
42.6,11.68007
42.65,22.25425
42.7,38.05959
42.75,59.28623
42.8,84.41542
42.85,110.591
42.9,132.8357
42.95,146.5264
43,147.9873
43.05,136.5858
43.1,115.015
43.15,87.92892
43.2,60.91679
43.25,38.2684
43.3,21.67168
43.35,11.18862
43.4,5.427003
43.45,2.796966
43.5,1.514051
43.55,0.7515635
43.6,0.4038266
43.65,0.2997558
43.7,0.1831992
43.75,0.1630258
43.8,0.1458618
43.85,2.026517E-02
43.9,-0.0552368
43.95,-6.140189E-02
44,-9.947994E-03
44.05,1.69729E-03
44.1,-7.996699E-03
44.15,2.483526E-02
44.2,-3.916817E-02
44.25,-0.1013084
44.3,-7.220863E-02
44.35,-0.1069024
44.4,-0.1480529
44.45,-0.10963
44.5,-7.893595E-02
44.55,-4.743722E-02
44.6,-0.0294692
44.65,2.006355E-02
44.7,0.1454127
44.75,0.3978441
44.8,1.097634
44.85,2.650715
44.9,5.892312
44.95,12.05031
45,22.21315
45.05,37.02415
45.1,55.97921
45.15,77.06552
45.2,96.7724
45.25,111.0478
45.3,116.4177
45.35,111.4511
45.4,97.21918
45.45,77.27456
45.5,55.80288
45.55,36.81633
45.6,22.39622
45.65,12.97298
45.7,7.48032
45.75,4.716674
45.8,3.535262
45.85,3.017084
45.9,2.669715
45.95,2.450335
46,2.277219
46.05,2.051725
46.1,1.854044
46.15,1.832142
46.2,1.86217
46.25,1.771636
46.3,1.625072
46.35,1.485593
46.4,1.287829
46.45,1.097302
46.5,0.9370728
46.55,0.7728427
46.6,0.590661
46.65,0.4383322
46.7,0.3584618
46.75,0.2913938
46.8,0.2713971
46.85,0.2570651
46.9,0.2754295
46.95,0.3231927
47,0.3564138
47.05,0.412526
47.1,0.3734537
47.15,0.268156
47.2,0.2981923
47.25,0.3498138
47.3,0.3813297
47.35,0.3246292
47.4,0.2785647
47.45,0.2625591
47.5,0.1705047
47.55,0.1743383
47.6,0.2934351
47.65,0.4030588
47.7,0.3807885
47.75,0.3579799
47.8,0.3304121
47.85,0.2504761
47.9,0.1474992
47.95,0.1749745
48,0.2295552
48.05,0.2365067
48.1,0.2321336
48.15,0.2413149
