Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-12-18_11-08-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Monday, December 18, 2017 7:08:52 PM",,
Date Last Modified,"Monday, December 18, 2017 7:41:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,8,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.1081848,10.5,1546
32.05,-0.1081848,,
32.1,-0.1081848,,
32.15,-0.1081848,,
32.2,-0.1081848,,
32.25,-0.1081848,,
32.3,-0.1081848,,
32.35,-0.1081848,,
32.4,-0.1081848,,
32.45,-0.1081848,,
32.5,-0.1081848,,
32.55,-0.1081848,,
32.6,-0.1081848,,
32.65,-0.1081848,,
32.7,-0.1081848,,
32.75,-0.1081848,,
32.8,-0.1081848,,
32.85,-0.1081848,,
32.9,-5.24E-02,,
32.95,2.94E-02,,
33,6.02E-02,,
33.05,8.05E-02,,
33.1,7.56E-02,,
33.15,-1.49E-02,,
33.2,-9.57E-02,,
33.25,-0.1797214,,
33.3,-0.1730654,,
33.35,-0.1005712,,
33.4,2.79E-02,,
33.45,0.1549505,,
33.5,0.2488894,,
33.55,0.2101898,,
33.6,4.69E-02,,
33.65,-0.1191578,,
33.7,-0.1550979,,
33.75,-7.20E-02,,
33.8,0.0130743,,
33.85,9.14E-02,,
33.9,0.2129676,,
33.95,0.2361504,,
34,0.1945524,,
34.05,0.1944565,,
34.1,0.217104,,
34.15,0.1793284,,
34.2,0.1018321,,
34.25,0.1312436,,
34.3,0.2036545,,
34.35,0.2786325,,
34.4,0.3399751,,
34.45,0.3683829,,
34.5,0.1628553,,
34.55,-5.24E-02,,
34.6,-0.1191005,,
34.65,-1.52E-02,,
34.7,4.82E-02,,
34.75,0.2654232,,
34.8,0.2561764,,
34.85,0.1900944,,
34.9,-5.54E-02,,
34.95,-4.07E-02,,
35,2.30E-03,,
35.05,-6.26E-03,,
35.1,-7.29E-03,,
35.15,-9.87E-02,,
35.2,-0.2596944,,
35.25,-0.3771249,,
35.3,-0.4573953,,
35.35,-0.3213819,,
35.4,-0.1612038,,
35.45,-0.1317776,,
35.5,-0.139664,,
35.55,-0.1801781,,
35.6,-0.2861983,,
35.65,-0.4128576,,
35.7,-0.4322997,,
