Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, November 10, 2016 7:15:46 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,10
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-2.184303E-02
32.05,6.543584E-02
32.1,0.0728814
32.15,2.848834E-02
32.2,-5.177209E-02
32.25,-0.1093072
32.3,-0.1041335
32.35,-4.082567E-02
32.4,-5.536699E-03
32.45,6.042944E-03
32.5,-1.167755E-02
32.55,-2.063989E-02
32.6,6.683976E-04
32.65,5.311723E-03
32.7,1.248446E-02
32.75,4.018536E-02
32.8,4.684088E-02
32.85,3.644909E-02
32.9,4.062775E-02
32.95,3.393638E-02
33,-1.409258E-02
33.05,-5.731116E-02
33.1,-7.989082E-02
33.15,-5.223982E-02
33.2,-9.865626E-02
33.25,-0.1003393
33.3,-0.1131125
33.35,-0.1138024
33.4,-0.1034109
33.45,-7.743598E-02
33.5,-5.943756E-02
33.55,-8.371275E-02
33.6,-0.1206459
33.65,-0.1367672
33.7,-0.1454098
33.75,-0.1266667
33.8,-7.011581E-02
33.85,-8.660621E-02
33.9,-0.1225199
33.95,-0.1537235
34,-0.1747078
34.05,-0.1427942
34.1,-0.1880409
34.15,-0.2333055
34.2,-0.227878
34.25,-0.2486763
34.3,-0.2132172
34.35,-0.1795267
34.4,-0.1804433
34.45,-0.2116902
34.5,-0.2543344
34.55,-0.2846105
34.6,-0.2826951
34.65,-0.2398131
34.7,-0.1755589
34.75,-0.1327956
34.8,-0.1510589
34.85,-0.1486735
34.9,-0.1354059
34.95,-0.1510684
35,-0.1428464
35.05,-0.1112288
35.1,-7.439083E-02
35.15,-0.0370488
35.2,-6.448761E-02
35.25,-7.102585E-02
35.3,-7.056398E-02
35.35,-9.135014E-02
35.4,-0.1159703
35.45,-0.1057059
35.5,-0.0457391
35.55,1.256568E-02
35.6,2.212209E-02
35.65,3.487449E-02
35.7,6.409458E-02
35.75,5.611202E-03
35.8,-3.108537E-02
35.85,-6.717992E-02
35.9,-6.162085E-02
35.95,-0.1023887
36,-0.1491699
36.05,-0.2618262
36.1,-0.3309811
36.15,-0.3392486
36.2,-0.3120327
36.25,-0.2176976
36.3,-9.655519E-02
36.35,3.552505E-03
36.4,2.816458E-02
36.45,-6.766623E-02
36.5,-0.1488042
36.55,-0.1961263
36.6,-0.2129137
36.65,-0.1431058
36.7,-0.1006697
36.75,-0.1672056
36.8,-0.181577
36.85,-0.252012
36.9,-0.233819
36.95,-0.2453383
37,-0.1861618
37.05,-0.1382394
37.1,-0.1696448
37.15,-0.1793196
37.2,-0.1281922
37.25,-9.799909E-02
37.3,-0.1288901
37.35,-0.196274
37.4,-0.2619406
37.45,-0.2751499
37.5,-0.308373
37.55,-0.2808614
37.6,-0.2343201
37.65,-0.179191
37.7,-0.1476981
37.75,-0.138726
37.8,-0.1674572
37.85,-0.1865529
37.9,-0.1765467
37.95,-0.176048
38,-0.1771066
38.05,-0.1627836
38.1,-0.1603866
38.15,-0.1708419
38.2,-0.157393
38.25,-0.1200622
38.3,-8.599868E-02
38.35,-8.715266E-02
38.4,-0.1216184
38.45,-0.1554571
38.5,-0.1728386
38.55,-0.1558216
38.6,-0.2139257
38.65,-0.2559394
38.7,-0.320692
38.75,-0.2972835
38.8,-0.2465732
38.85,-0.15481
38.9,-7.817544E-02
38.95,-5.454786E-02
39,-0.1060278
39.05,-0.2012603
39.1,-0.2767482
39.15,-0.3358468
39.2,-0.3671295
39.25,-0.347482
39.3,-0.305674
39.35,-0.3026274
39.4,-0.2620163
39.45,-0.2349706
39.5,-0.2609911
39.55,-0.2378462
39.6,-0.2871981
39.65,-0.3072404
39.7,-0.3291506
39.75,-0.3215419
39.8,-0.3234186
39.85,-0.3523405
39.9,-0.3791256
39.95,-0.356306
40,-0.3080562
40.05,-0.2989843
40.1,-0.2692096
40.15,-0.2549686
40.2,-0.2513839
40.25,-0.3141696
40.3,-0.2938656
40.35,-0.2985338
40.4,-0.2830235
40.45,-0.2998622
40.5,-0.2915897
40.55,-0.2529211
40.6,-0.1957407
40.65,-0.1677707
40.7,-0.1717752
40.75,-0.1938713
40.8,-0.2245734
40.85,-0.2584127
40.9,-0.2552645
40.95,-0.1997835
41,-0.1757107
41.05,-0.1366871
41.1,-0.1704556
41.15,-0.2467387
41.2,-0.2135823
41.25,-0.1544088
41.3,-5.202782E-02
41.35,-2.157886E-02
41.4,-8.571851E-02
41.45,-0.1315696
41.5,-0.2377405
41.55,-0.2645957
41.6,-0.212417
41.65,-0.1956492
41.7,-0.2440085
41.75,-0.3232573
41.8,-0.392627
41.85,-0.4117425
41.9,-0.394881
41.95,-0.3430617
42,-0.1783194
42.05,-0.1286314
42.1,-0.1792623
42.15,-0.2158495
42.2,-0.2029739
42.25,-0.2350267
42.3,-0.2160121
42.35,-0.2033776
42.4,-0.1416824
42.45,8.496362E-02
42.5,0.7599498
42.55,2.330919
42.6,5.169052
42.65,9.747896
42.7,16.60933
42.75,25.73535
42.8,36.47455
42.85,47.8195
42.9,57.83339
42.95,64.72259
43,66.86475
43.05,63.57859
43.1,56.03109
43.15,45.73871
43.2,34.61648
43.25,24.41901
43.3,16.09236
43.35,10.09476
43.4,6.227179
43.45,4.034478
43.5,2.980366
43.55,2.5339
43.6,2.367577
43.65,2.319567
43.7,2.26336
43.75,2.148139
43.8,2.015291
43.85,1.871162
43.9,1.684105
43.95,1.530272
44,1.357175
44.05,1.325209
44.1,1.233736
44.15,1.166204
44.2,1.131569
44.25,1.158429
44.3,1.220919
44.35,1.346586
44.4,1.540177
44.45,1.745178
44.5,1.92567
44.55,2.075006
44.6,2.221333
44.65,2.370999
44.7,2.603484
44.75,3.040923
44.8,4.11667
44.85,6.369264
44.9,10.73395
44.95,18.25845
45,29.5507
45.05,44.74044
45.1,62.98152
45.15,82.28337
45.2,99.49837
45.25,111.4223
45.3,115.6079
45.35,110.9467
45.4,98.1772
45.45,79.89194
45.5,59.82108
45.55,41.27501
45.6,26.38497
45.65,15.92167
45.7,9.692572
45.75,6.253002
45.8,4.417318
45.85,3.303535
45.9,2.676706
45.95,2.26157
46,1.924789
46.05,1.67087
46.1,1.526113
46.15,1.393526
46.2,1.262467
46.25,1.178295
46.3,1.115331
46.35,1.080288
46.4,1.015254
46.45,0.9271222
46.5,0.8379608
46.55,0.66056
46.6,0.463315
46.65,0.3381427
46.7,0.2056954
46.75,0.0776119
46.8,-4.340053E-02
46.85,-0.1570812
46.9,-0.2214886
46.95,-0.2684357
47,-0.2413491
47.05,-0.1719552
47.1,-0.1541631
47.15,-0.1877401
47.2,-0.2644014
47.25,-0.3947043
47.3,-0.4713638
47.35,-0.4780136
47.4,-0.445201
47.45,-0.4021906
47.5,-0.4244381
47.55,-0.4740146
47.6,-0.4590322
47.65,-0.4953286
47.7,-0.4988337
47.75,-0.4816138
47.8,-0.5230055
47.85,-0.6255957
47.9,-0.749477
47.95,-0.8444369
48,-0.8665248
48.05,-0.854042
48.1,-0.8694801
48.15,-0.8648554
48.2,-0.8329231
48.25,-0.8798271
