Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, November 10, 2016 7:15:46 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,20161111,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.1450419,5.9,1066
32.05,0.1035375,,
32.1,-7.47E-03,,
32.15,-7.33E-02,,
32.2,-7.96E-02,,
32.25,-0.1334672,,
32.3,-0.202384,,
32.35,-0.1804561,,
32.4,-0.1980705,,
32.45,-0.2012439,,
32.5,-9.21E-02,,
32.55,4.50E-02,,
32.6,0.1490085,,
32.65,0.19893,,
32.7,0.1657237,,
32.75,0.1078466,,
32.8,0.1044788,,
32.85,3.49E-02,,
32.9,4.15E-02,,
32.95,0.1435363,,
33,0.1708805,,
33.05,0.1385951,,
33.1,5.32E-02,,
33.15,-6.54E-02,,
33.2,-0.1524016,,
33.25,-0.2103,,
33.3,-0.2167109,,
33.35,-0.1488332,,
33.4,-6.34E-02,,
33.45,1.12E-03,,
33.5,3.26E-02,,
33.55,7.38E-02,,
33.6,5.63E-02,,
33.65,-2.62E-03,,
33.7,4.59E-02,,
33.75,4.97E-02,,
33.8,6.54E-02,,
33.85,0.07668,,
33.9,0.0523939,,
33.95,2.36E-02,,
34,2.62E-03,,
34.05,-2.75E-02,,
34.1,-3.64E-02,,
34.15,-3.65E-02,,
34.2,-0.1021288,,
34.25,-5.10E-02,,
34.3,-6.89E-02,,
34.35,-8.34E-02,,
34.4,-0.0970337,,
34.45,-0.1151564,,
34.5,-0.1389488,,
34.55,-0.1454692,,
34.6,-0.130816,,
34.65,-8.76E-02,,
34.7,-2.50E-02,,
34.75,1.78E-02,,
34.8,3.97E-02,,
34.85,4.07E-02,,
34.9,-6.87E-04,,
34.95,-2.70E-02,,
35,-1.73E-02,,
35.05,-5.57E-02,,
35.1,-8.03E-02,,
35.15,-9.59E-02,,
35.2,-0.1311895,,
35.25,-0.1904479,,
35.3,-0.2501485,,
35.35,-0.2583425,,
35.4,-0.2066309,,
35.45,-0.1618682,,
35.5,-0.1013787,,
35.55,0.0245853,,
35.6,5.92E-02,,
35.65,-8.85E-03,,
35.7,-0.1118325,,
35.75,-0.2202896,,
35.8,-0.2129768,,
35.85,-0.2093444,,
35.9,-0.1771636,,
35.95,-0.1043333,,
36,-5.58E-02,,
36.05,-2.89E-02,,
36.1,2.54E-02,,
36.15,4.94E-02,,
36.2,4.34E-02,,
36.25,9.48E-02,,
36.3,0.061184,,
36.35,2.81E-02,,
36.4,9.92E-03,,
36.45,2.22E-02,,
36.5,-8.67E-03,,
36.55,-6.37E-02,,
36.6,-8.63E-02,,
36.65,-5.88E-02,,
36.7,-0.0254259,,
36.75,-1.08E-02,,
36.8,0.0226498,,
36.85,3.43E-02,,
36.9,1.82E-02,,
36.95,9.27E-03,,
37,7.04E-02,,
37.05,0.1208255,,
37.1,0.1571742,,
37.15,0.1664126,,
37.2,0.1582107,,
37.25,0.1277681,,
37.3,0.1019856,,
37.35,9.93E-02,,
37.4,8.94E-02,,
37.45,5.47E-02,,
37.5,2.83E-02,,
37.55,-2.35E-02,,
37.6,-8.56E-02,,
37.65,-0.1045845,,
37.7,-8.04E-02,,
37.75,-8.20E-02,,
37.8,-6.04E-02,,
37.85,3.20E-03,,
37.9,7.11E-02,,
37.95,0.1072001,,
38,0.1024979,,
38.05,7.08E-02,,
38.1,2.81E-02,,
38.15,-2.46E-02,,
38.2,-7.96E-02,,
38.25,-0.124405,,
38.3,-0.170142,,
38.35,-0.2494141,,
38.4,-0.3192304,,
38.45,-0.3770221,,
38.5,-0.3538043,,
38.55,-0.2674473,,
38.6,-0.1833026,,
38.65,-0.146285,,
38.7,-0.1014587,,
38.75,-3.87E-02,,
38.8,-5.54E-02,,
38.85,-9.13E-02,,
38.9,-0.1249105,,
38.95,-0.1280127,,
39,-0.114382,,
39.05,-7.54E-02,,
39.1,-2.84E-02,,
39.15,9.83E-03,,
39.2,-5.54E-02,,
39.25,-0.1007822,,
39.3,-0.1103206,,
39.35,-7.70E-02,,
39.4,1.70E-02,,
39.45,0.0978926,,
39.5,0.1173767,,
39.55,0.1074478,,
39.6,0.0471565,,
39.65,-0.0137131,,
39.7,-4.84E-02,,
39.75,-0.0998162,,
39.8,-0.1080188,,
39.85,-6.89E-02,,
39.9,-7.76E-03,,
39.95,3.52E-02,,
40,7.18E-02,,
40.05,6.62E-02,,
40.1,-3.20E-02,,
40.15,-0.133963,,
40.2,-0.1320813,,
40.25,-7.35E-02,,
40.3,-7.46E-03,,
40.35,1.28E-02,,
40.4,6.22E-02,,
40.45,0.1574364,,
40.5,0.1513376,,
40.55,0.1936629,,
40.6,0.2356105,,
40.65,0.195976,,
40.7,0.1146255,,
40.75,4.47E-02,,
40.8,-1.49E-02,,
40.85,-0.031498,,
40.9,8.55E-03,,
40.95,5.11E-02,,
41,3.91E-02,,
41.05,2.74E-02,,
41.1,3.16E-02,,
41.15,0.0296192,,
41.2,3.14E-02,,
41.25,5.11E-02,,
41.3,0.1460384,,
41.35,0.2262597,,
41.4,0.2541432,,
41.45,0.3327612,,
41.5,0.4280328,,
41.55,0.4103867,,
41.6,0.4063318,,
41.65,0.3766468,,
41.7,0.3325624,,
41.75,0.3013113,,
41.8,0.2411858,,
41.85,0.2520925,,
41.9,0.2904445,,
41.95,0.3170098,,
42,0.357603,,
42.05,0.4167778,,
42.1,0.4475183,,
42.15,0.4207551,,
42.2,0.3788474,,
42.25,0.409969,,
42.3,0.501036,,
42.35,0.6907499,,
42.4,0.9010043,,
42.45,1.292218,,
42.5,2.071017,,
42.55,3.554974,,
42.6,6.198918,,
42.65,10.55513,,
42.7,16.99071,,
42.75,25.54864,,
42.8,35.83736,,
42.85,46.84673,,
42.9,57.07717,,
42.95,65.14956,,
43,69.59384,,
43.05,69.07631,,
43.1,64.37242,,
43.15,56.37642,,
43.2,46.41741,,
43.25,35.93353,,
43.3,26.20543,,
43.35,18.18573,,
43.4,12.22871,,
43.45,8.219554,,
43.5,5.894468,,
43.55,4.792973,,
43.6,4.241205,,
43.65,3.993373,,
43.7,3.816301,,
43.75,3.65265,,
43.8,3.481804,,
43.85,3.284743,,
43.9,3.087513,,
43.95,2.914322,,
44,2.685945,,
44.05,2.477765,,
44.1,2.356149,,
44.15,2.227211,,
44.2,2.069727,,
44.25,1.93466,,
44.3,1.877197,,
44.35,1.891195,,
44.4,1.962177,,
44.45,2.0822,,
44.5,2.247272,,
44.55,2.448781,,
44.6,2.67748,,
44.65,2.958454,,
44.7,3.243567,,
44.75,3.516342,,
44.8,3.826212,,
44.85,4.155239,,
44.9,4.43045,,
44.95,4.70922,,
45,5.054901,,
45.05,5.395626,,
45.1,5.688521,,
45.15,5.888155,,
45.2,6.086463,,
45.25,6.143063,,
45.3,6.090647,,
45.35,5.960965,,
45.4,5.714884,,
45.45,5.328942,,
45.5,4.861358,,
45.55,4.41659,,
45.6,4.08419,,
45.65,4.01528,,
