Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, January 23, 2018 8:13:37 PM"
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.3248291
32.05,0.3248291
32.1,0.3248291
32.15,0.3248291
32.2,0.3248291
32.25,0.3248291
32.3,0.3248291
32.35,0.3248291
32.4,0.3248291
32.45,0.3248291
32.5,0.3248291
32.55,0.3248291
32.6,0.3248291
32.65,0.3248291
32.7,0.3248291
32.75,0.3248291
32.8,0.3248291
32.85,0.3248291
32.9,0.3248291
32.95,0.3248291
33,0.3248291
33.05,0.3248291
33.1,0.3248291
33.15,0.3248291
33.2,0.3248291
33.25,0.3248291
33.3,0.1985365
33.35,-7.757439E-02
33.4,-0.3120141
33.45,-0.3284557
33.5,-0.2177678
33.55,-0.172475
33.6,-0.212297
33.65,-9.790711E-02
33.7,7.211333E-02
33.75,0.2224623
33.8,0.295321
33.85,0.215547
33.9,7.122012E-02
33.95,1.012573E-02
34,6.546292E-02
34.05,6.598905E-02
34.1,2.425748E-02
34.15,0.1153005
34.2,0.214297
34.25,0.2327881
34.3,0.289784
34.35,0.2072853
34.4,6.397591E-02
34.45,-0.1513718
34.5,-0.1569556
34.55,-0.160317
34.6,-2.714376E-03
34.65,0.2087768
34.7,9.078366E-02
34.75,-0.204023
34.8,-0.5719551
34.85,-0.5624271
34.9,-0.5406713
34.95,-0.3541206
35,-0.2418097
35.05,-0.3379813
35.1,-0.4963486
35.15,-0.5606574
35.2,-0.3749233
35.25,-0.3058141
35.3,-0.2701459
35.35,-0.3337803
35.4,-0.3699778
35.45,-0.3519258
35.5,-0.2821521
35.55,-0.1374917
35.6,-1.395668E-02
35.65,0.2178246
35.7,0.2003202
35.75,0.2071354
35.8,0.1049654
35.85,0.052901
35.9,6.545676E-02
35.95,8.490065E-02
36,0.2164111
36.05,0.2584805
36.1,0.248233
36.15,0.1875525
36.2,1.196461E-02
36.25,-0.2003801
36.3,-0.2232314
36.35,-2.294452E-02
36.4,0.1757073
36.45,0.1362339
36.5,-5.793261E-03
36.55,-0.3241487
36.6,-0.5289575
36.65,-0.5000637
36.7,-0.4550214
36.75,-0.4431601
36.8,-0.5111757
36.85,-0.3823729
36.9,-0.2220179
36.95,-0.1904836
37,-0.2188194
37.05,-0.3766778
37.1,-0.5035746
37.15,-0.5810049
37.2,-0.4756977
37.25,-0.3530012
37.3,-0.3306414
37.35,-0.2978368
37.4,-0.2684869
37.45,-0.2926918
37.5,-8.624859E-02
37.55,0.1353379
37.6,0.1253799
37.65,-2.641806E-02
37.7,-0.141196
37.75,-0.1976982
37.8,-0.1774368
37.85,-1.123447E-02
37.9,8.087001E-02
37.95,8.566096E-02
38,0.0105894
38.05,-3.212866E-04
38.1,-9.854008E-02
38.15,-4.624751E-02
38.2,0.0797777
38.25,0.1983066
38.3,0.1586483
38.35,-3.357703E-03
38.4,-0.1595898
38.45,-0.4030316
38.5,-0.5615842
38.55,-0.5554641
38.6,-0.5165061
38.65,-0.3411162
38.7,-0.3030818
38.75,-0.2627968
38.8,-0.4129556
38.85,-0.5341142
38.9,-0.5386299
38.95,-0.5484778
39,-0.5209078
39.05,-0.4889999
39.1,-0.5156958
39.15,-0.4730611
39.2,-0.2965884
39.25,-9.030452E-02
39.3,-2.293854E-02
39.35,-0.0815893
39.4,-7.195591E-02
39.45,-5.001131E-02
39.5,3.685582E-03
39.55,-6.726237E-02
39.6,-0.1575416
39.65,-0.1984284
39.7,-0.1128953
39.75,-8.195325E-04
39.8,-4.109644E-02
39.85,1.223472E-02
39.9,-1.632505E-02
39.95,-9.118692E-02
40,-0.1342192
40.05,-0.3745589
40.1,-0.4746925
40.15,-0.3969454
40.2,-0.2698088
40.25,-0.2528661
40.3,-0.4112716
40.35,-0.5238635
40.4,-0.6763868
40.45,-0.5239268
40.5,-0.5517381
40.55,-0.6544458
40.6,-0.5995442
40.65,-0.6959243
40.7,-0.6990595
40.75,-0.7384844
40.8,-0.692091
40.85,-0.6342105
40.9,-0.4872601
40.95,-0.3820005
41,-0.4197388
41.05,-0.4755021
41.1,-0.5082927
41.15,-0.4766858
41.2,-0.3730138
41.25,-0.2363284
41.3,6.204306E-05
41.35,1.854517E-02
41.4,-0.1017981
41.45,-0.1968282
41.5,-0.2869359
41.55,-0.3552173
41.6,-0.2830983
41.65,-0.1900469
41.7,-0.3209637
41.75,-0.3426381
41.8,-0.1956061
41.85,-0.1487853
41.9,-0.2189328
41.95,-0.2858103
42,-0.4828433
42.05,-0.6051682
42.1,-0.4767288
42.15,-0.4232999
42.2,-0.4722408
42.25,-0.6307459
42.3,-0.7816681
42.35,-0.9263775
42.4,-0.8857723
42.45,-0.8056388
42.5,-0.6452546
42.55,-6.346396E-02
42.6,1.689241
42.65,6.177968
42.7,15.16628
42.75,30.33348
42.8,52.13644
42.85,79.33789
42.9,108.4522
42.95,133.6638
43,147.7784
43.05,145.176
43.1,127.8072
43.15,100.3367
43.2,70.03359
43.25,43.39711
43.3,23.78897
43.35,11.40384
43.4,4.925673
43.45,2.212145
43.5,1.053359
43.55,0.6629214
43.6,0.5315193
43.65,0.5083296
43.7,0.3273327
43.75,5.578445E-02
43.8,-4.430346E-03
43.85,-0.1950681
43.9,-0.3962617
43.95,-0.3704082
44,-0.3532066
44.05,-0.4700525
44.1,-0.6236466
44.15,-0.7452672
44.2,-0.8844641
44.25,-0.9668522
44.3,-0.9468284
44.35,-0.8338729
44.4,-0.8402784
44.45,-0.8586439
44.5,-0.8788455
44.55,-0.8360048
44.6,-0.8033981
44.65,-0.7794724
44.7,-0.7200264
44.75,-0.7745109
44.8,-0.6762221
44.85,-0.1661462
44.9,1.385646
44.95,5.687889
45,15.46689
45.05,34.01503
45.1,64.17352
45.15,106.8513
45.2,157.9221
45.25,205.3026
45.3,238.0056
45.35,245.177
45.4,224.1736
45.45,181.7611
45.5,129.9492
45.55,81.25982
45.6,44.44914
45.65,23.01171
45.7,11.84971
45.75,6.890917
45.8,4.91148
45.85,3.727095
45.9,2.976197
45.95,2.596755
46,2.245836
46.05,2.117583
46.1,2.064918
46.15,1.980899
46.2,1.757635
46.25,1.371282
46.3,0.8323644
46.35,0.247238
46.4,-6.614015E-02
46.45,-0.1476897
46.5,-0.2575963
46.55,-0.4966424
46.6,-0.7772242
46.65,-0.9544733
46.7,-0.9659144
46.75,-0.9728097
46.8,-0.9694148
46.85,-1.01371
46.9,-1.036863
46.95,-1.200921
47,-1.295104
47.05,-1.260104
47.1,-1.267352
47.15,-1.196812
47.2,-1.161307
47.25,-1.164844
47.3,-1.319921
47.35,-1.351021
47.4,-1.440197
47.45,-1.690871
47.5,-1.886858
47.55,-2.037688
47.6,-2.075189
47.65,-2.127141
47.7,-2.140109
47.75,-2.018296
47.8,-1.968588
47.85,-1.895783
47.9,-1.880225
47.95,-1.854033
48,-1.924202
48.05,-2.008634
48.1,-1.962101
48.15,-2.049829
48.2,-1.977558
48.25,-1.941792
48.3,-1.830833
48.35,-1.710977
48.4,-1.645934
48.45,-1.538886
48.5,-1.475608
48.55,-1.345539
48.6,-1.46805
48.65,-1.470036
48.7,-1.589982
48.75,-1.79308
48.8,-1.804146
48.85,-1.734614
48.9,-1.655414
48.95,-1.544369
49,-1.445657
49.05,-1.451059
49.1,-1.611582
49.15,-1.695083
49.2,-1.843406
49.25,-1.90535
49.3,-1.938734
49.35,-2.067674
49.4,-2.158756
49.45,-2.298603
49.5,-2.389687
49.55,-2.346093
49.6,-2.260793
49.65,-2.270698
49.7,-2.308941
49.75,-2.259979
49.8,-2.286036
49.85,-2.314678
49.9,-2.280267
49.95,-2.176056
50,-2.209329
50.05,-2.280573
50.1,-2.335141
50.15,-2.407656
50.2,-2.371367
50.25,-2.203371
50.3,-2.022641
50.35,-2.045953
50.4,-2.0219
50.45,-1.91763
50.5,-1.872151
50.55,-1.690953
50.6,-0.7676603
50.65,1.903794
50.7,9.972372
50.75,28.14858
50.8,61.91196
50.85,113.8826
50.9,178.4815
50.95,242.5823
51,288.3753
51.05,301.2938
51.1,277.2039
51.15,223.8093
51.2,157.0734
51.25,96.84727
51.3,53.47764
51.35,27.80162
51.4,15.33699
51.45,10.50649
51.5,8.787125
51.55,7.559461
51.6,7.017176
51.65,6.339196
51.7,5.934806
51.75,5.224686
51.8,4.385662
51.85,3.479739
51.9,2.436836
51.95,1.412048
52,0.359725
52.05,-0.352724
52.1,-0.7887625
52.15,-0.957903
52.2,-1.094855
52.25,-1.068343
52.3,-1.156512
52.35,-1.350392
52.4,-1.431253
