Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, January 23, 2018 8:13:37 PM",,
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,1.25E-02,10,1605
32.05,1.25E-02,,
32.1,1.25E-02,,
32.15,1.25E-02,,
32.2,1.25E-02,,
32.25,1.25E-02,,
32.3,1.25E-02,,
32.35,1.25E-02,,
32.4,1.25E-02,,
32.45,1.25E-02,,
32.5,1.25E-02,,
32.55,1.25E-02,,
32.6,1.25E-02,,
32.65,1.25E-02,,
32.7,1.25E-02,,
32.75,1.25E-02,,
32.8,1.25E-02,,
32.85,1.25E-02,,
32.9,1.25E-02,,
32.95,1.25E-02,,
33,1.25E-02,,
33.05,1.25E-02,,
33.1,1.25E-02,,
33.15,1.25E-02,,
33.2,-6.47E-02,,
33.25,-9.07E-02,,
33.3,-0.0773061,,
33.35,1.28E-02,,
33.4,6.60E-02,,
33.45,0.1617534,,
33.5,0.1618103,,
33.55,8.02E-02,,
33.6,2.39E-03,,
33.65,-0.1053407,,
33.7,-0.1291139,,
33.75,-2.31E-02,,
33.8,-6.79E-03,,
33.85,0.0135727,,
33.9,-0.142811,,
33.95,-9.14E-03,,
34,6.57E-02,,
34.05,6.05E-02,,
34.1,0.1116814,,
34.15,0.1311956,,
34.2,8.23E-02,,
34.25,-2.47E-02,,
34.3,-0.2563451,,
34.35,-0.5134786,,
34.4,-0.6878356,,
34.45,-0.7103692,,
34.5,-0.5275409,,
34.55,-0.224047,,
34.6,-5.26E-02,,
34.65,-5.80E-02,,
34.7,-0.1359904,,
34.75,-0.2780545,,
34.8,-0.4963747,,
34.85,-0.4111694,,
34.9,-0.408741,,
34.95,-0.3690067,,
35,-0.4966851,,
35.05,-0.6629764,,
35.1,-0.6472723,,
35.15,-0.6604058,,
35.2,-0.6163685,,
35.25,-0.5861341,,
35.3,-0.5080106,,
35.35,-0.5652382,,
35.4,-0.2901852,,
35.45,-8.03E-02,,
35.5,-0.1046288,,
35.55,-0.1898565,,
35.6,-0.347254,,
35.65,-0.5061261,,
35.7,-0.6159494,,
35.75,-0.4641659,,
35.8,-0.2819106,,
35.85,-0.1115212,,
35.9,-4.11E-03,,
35.95,-7.44E-03,,
36,0.1120318,,
36.05,-2.52E-02,,
36.1,-0.1374875,,
36.15,-0.2160182,,
36.2,-0.4041742,,
36.25,-0.5909729,,
36.3,-0.6201537,,
36.35,-0.561204,,
36.4,-0.6159334,,
36.45,-0.588128,,
36.5,-0.4354569,,
36.55,-0.3952506,,
36.6,-0.4109586,,
36.65,-0.3261827,,
36.7,-0.2594868,,
36.75,-0.3700089,,
36.8,-0.4197259,,
36.85,-0.3314811,,
36.9,-0.3847251,,
36.95,-0.4033968,,
37,-0.3178059,,
37.05,-0.262344,,
37.1,-0.3344887,,
37.15,-0.285404,,
37.2,-0.2665576,,
37.25,-0.3696259,,
37.3,-0.3894928,,
37.35,-0.4893923,,
37.4,-0.55275,,
37.45,-0.5151997,,
37.5,-0.3248437,,
37.55,-0.2336358,,
37.6,-0.1091734,,
37.65,-4.07E-02,,
37.7,-0.1307364,,
37.75,-6.42E-02,,
37.8,0.1620478,,
37.85,0.219535,,
37.9,-5.77E-02,,
37.95,-0.1517951,,
38,-0.3038449,,
38.05,-0.4472165,,
38.1,-0.4104986,,
38.15,-0.2770455,,
38.2,-0.2939143,,
38.25,-0.1441488,,
38.3,6.03E-02,,
38.35,6.01E-02,,
38.4,0.29797,,
38.45,0.7340935,,
38.5,0.8344218,,
38.55,0.5442752,,
38.6,0.142636,,
38.65,-0.3644713,,
38.7,-0.8054575,,
38.75,-0.650479,,
38.8,-0.2842464,,
38.85,3.17E-02,,
38.9,0.2495587,,
38.95,0.1287755,,
39,-0.1473871,,
39.05,-0.4091833,,
39.1,-0.4613237,,
39.15,-0.5607764,,
39.2,-0.669198,,
39.25,-0.6412016,,
39.3,-0.700137,,
39.35,-0.5415148,,
39.4,-0.2729061,,
39.45,-0.218536,,
39.5,-0.1906634,,
39.55,-0.3391842,,
39.6,-0.419506,,
39.65,-0.5554993,,
39.7,-0.6316295,,
39.75,-0.678848,,
39.8,-0.6744859,,
39.85,-0.6073886,,
39.9,-0.6813253,,
39.95,-0.6313741,,
40,-0.5682526,,
40.05,-0.7566687,,
40.1,-0.9200413,,
40.15,-0.8717198,,
40.2,-0.8303843,,
40.25,-0.9296969,,
40.3,-0.9298767,,
40.35,-0.9871178,,
40.4,-1.119747,,
40.45,-1.087349,,
40.5,-0.8928263,,
40.55,-0.8906596,,
40.6,-0.7902505,,
40.65,-0.7598504,,
40.7,-0.8784233,,
40.75,-1.036721,,
40.8,-1.063963,,
40.85,-0.7495109,,
40.9,-0.4144934,,
40.95,3.50E-02,,
41,0.0921913,,
41.05,0.2076855,,
41.1,0.2317811,,
41.15,0.1466105,,
41.2,-3.19E-02,,
41.25,-0.3116103,,
41.3,-0.4915538,,
41.35,-0.5770353,,
41.4,-0.4497016,,
41.45,-0.3169011,,
41.5,-0.318551,,
41.55,-0.4926988,,
41.6,-0.5119814,,
41.65,-0.5164345,,
41.7,-0.4107828,,
41.75,-0.3424056,,
41.8,-0.3980735,,
41.85,-0.5707958,,
41.9,-0.7034936,,
41.95,-0.6192917,,
42,-0.6296852,,
42.05,-0.6942812,,
42.1,-0.8751633,,
42.15,-1.022143,,
42.2,-1.0561,,
42.25,-0.9601651,,
42.3,-0.8380895,,
42.35,-0.7598732,,
42.4,-0.6598095,,
42.45,-0.6027648,,
42.5,8.07E-02,,
42.55,2.076458,,
42.6,6.363492,,
42.65,15.00743,,
42.7,30.35925,,
42.75,53.90661,,
42.8,85.89919,,
42.85,124.1964,,
42.9,163.4543,,
42.95,196.1477,,
43,214.6636,,
43.05,212.6393,,
43.1,191.0337,,
43.15,155.6036,,
43.2,114.6023,,
43.25,76.23676,,
43.3,45.69621,,
43.35,24.53647,,
43.4,12.00004,,
43.45,5.198401,,
43.5,2.163008,,
43.55,1.147167,,
43.6,0.8413073,,
43.65,0.5729313,,
43.7,0.1337441,,
43.75,-0.2398674,,
43.8,-0.5064309,,
43.85,-0.5521008,,
43.9,-0.4583584,,
43.95,-0.2829545,,
44,-0.4043774,,
44.05,-0.4719631,,
44.1,-0.6248258,,
44.15,-0.6774375,,
44.2,-0.7799158,,
44.25,-0.8934863,,
44.3,-0.9695438,,
44.35,-1.129974,,
44.4,-1.112951,,
44.45,-1.115435,,
44.5,-0.8828003,,
44.55,-0.9333754,,
44.6,-0.7824669,,
44.65,-0.692786,,
44.7,-0.5137197,,
44.75,-0.4078701,,
44.8,-0.3381582,,
44.85,-0.2277247,,
44.9,-0.2828714,,
44.95,-0.2491783,,
45,-0.3594109,,
45.05,-0.2297503,,
45.1,-0.2173923,,
45.15,-0.1799968,,
45.2,-0.1990703,,
45.25,-0.1878249,,
45.3,-0.2305554,,
45.35,-0.3224715,,
45.4,-0.3645695,,
45.45,-0.4485997,,
45.5,-0.6101996,,
45.55,-0.7797745,,
45.6,-0.6367912,,
45.65,-0.7475923,,
45.7,-0.8451778,,
45.75,-0.9595582,,
45.8,-0.8844166,,
45.85,-0.7605878,,
45.9,-0.6093392,,
45.95,-0.5301315,,
46,-0.5903639,,
46.05,-0.4469384,,
46.1,-0.5102554,,
46.15,-0.4522411,,
46.2,-0.2572925,,
46.25,-0.2404008,,
46.3,-0.2325937,,
46.35,-0.1915818,,
46.4,-0.1378004,,
46.45,-0.1762711,,
46.5,-0.1817779,,
46.55,-0.1901422,,
46.6,-0.2993607,,
46.65,-0.3261978,,
46.7,-0.3211868,,
46.75,-0.4186115,,
46.8,-0.546874,,
46.85,-0.687987,,
46.9,-0.8427764,,
46.95,-0.846234,,
47,-1.022969,,
47.05,-1.040087,,
47.1,-1.102833,,
47.15,-1.031052,,
47.2,-1.184775,,
47.25,-1.306971,,
47.3,-1.187683,,
47.35,-1.170916,,
47.4,-1.12418,,
47.45,-1.183643,,
47.5,-1.198513,,
47.55,-1.489559,,
47.6,-1.480176,,
47.65,-1.275728,,
47.7,-1.077133,,
47.75,-0.9520459,,
47.8,-0.9947485,,
47.85,-1.176955,,
47.9,-1.410728,,
47.95,-1.590243,,
48,-1.699193,,
48.05,-1.76194,,
48.1,-1.753305,,
48.15,-1.655013,,
48.2,-1.565515,,
48.25,-1.612839,,
48.3,-1.743412,,
48.35,-1.833872,,
48.4,-1.851053,,
48.45,-1.727721,,
