Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,3.094482E-02
32.05,3.094482E-02
32.1,3.094482E-02
32.15,3.094482E-02
32.2,3.094482E-02
32.25,3.094482E-02
32.3,3.094482E-02
32.35,3.094482E-02
32.4,3.094482E-02
32.45,3.094482E-02
32.5,3.094482E-02
32.55,3.094482E-02
32.6,3.094482E-02
32.65,3.094482E-02
32.7,3.094482E-02
32.75,3.094482E-02
32.8,3.094482E-02
32.85,3.094482E-02
32.9,3.094482E-02
32.95,3.094482E-02
33,3.094482E-02
33.05,3.094482E-02
33.1,3.094482E-02
33.15,3.094482E-02
33.2,3.094482E-02
33.25,5.954939E-02
33.3,0.2180044
33.35,0.3095441
33.4,0.3338653
33.45,0.3102328
33.5,0.2364477
33.55,7.372195E-02
33.6,-0.129991
33.65,-0.1986754
33.7,-0.2139422
33.75,-0.2234049
33.8,-0.1455444
33.85,-3.988782E-02
33.9,-0.0678834
33.95,-0.1851109
34,-0.1824596
34.05,-0.1241012
34.1,-5.488053E-02
34.15,4.407325E-02
34.2,0.1372035
34.25,0.2113953
34.3,0.159062
34.35,0.1174101
34.4,4.615752E-02
34.45,1.367874E-02
34.5,2.690805E-03
34.55,-1.9296E-04
34.6,5.077976E-03
34.65,-2.421403E-02
34.7,-2.82589E-03
34.75,7.909364E-02
34.8,0.1526787
34.85,8.161083E-02
34.9,-2.976097E-02
34.95,-0.1707003
35,-0.3111188
35.05,-0.2554794
35.1,-2.451067E-02
35.15,0.1119208
35.2,0.1353811
35.25,-0.0283582
35.3,-0.0852714
35.35,-0.1076472
35.4,-6.092944E-02
35.45,-3.284851E-03
35.5,7.576662E-02
35.55,7.108869E-02
35.6,-9.089319E-02
35.65,-0.2634563
35.7,-0.3517755
35.75,-0.3913767
35.8,-0.3997908
35.85,-0.3641548
35.9,-0.3303072
35.95,-0.4242395
36,-0.5941687
36.05,-0.7773704
36.1,-0.7149038
36.15,-0.5324754
36.2,-0.3602987
36.25,-0.2462785
36.3,-0.2487466
36.35,-0.495377
36.4,-0.6509264
36.45,-0.7249048
36.5,-0.6804802
36.55,-0.6139464
36.6,-0.4779301
36.65,-0.3888805
36.7,-0.3150142
36.75,-0.3890664
36.8,-0.5480218
36.85,-0.6632487
36.9,-0.6664426
36.95,-0.5358366
37,-0.3744757
37.05,-0.3158203
37.1,-0.2070169
37.15,-0.1661497
37.2,-0.2610747
37.25,-0.2916536
37.3,-0.3342718
37.35,-0.4302155
37.4,-0.5768465
37.45,-0.6054584
37.5,-0.4974907
37.55,-0.4304545
37.6,-0.3665507
37.65,-0.3032604
37.7,-0.3503911
37.75,-0.4796339
37.8,-0.5731974
37.85,-0.646469
37.9,-0.7060425
37.95,-0.7216036
38,-0.6830776
38.05,-0.578805
38.1,-0.5120279
38.15,-0.5255957
38.2,-0.5782816
38.25,-0.5747999
38.3,-0.5843245
38.35,-0.5986041
38.4,-0.5838652
38.45,-0.6878411
38.5,-0.8513657
38.55,-0.8671304
38.6,-0.8257897
38.65,-0.6991394
38.7,-0.7221341
38.75,-0.6579573
38.8,-0.7337673
38.85,-0.8879917
38.9,-0.8691326
38.95,-0.886076
39,-0.9955983
39.05,-0.9644204
39.1,-0.9745513
39.15,-1.000976
39.2,-1.024722
39.25,-0.9518834
39.3,-0.886004
39.35,-0.8100242
39.4,-0.7184409
39.45,-0.7207987
39.5,-0.7245544
39.55,-0.6983157
39.6,-0.6025918
39.65,-0.5684506
39.7,-0.5731561
39.75,-0.5575407
39.8,-0.6102608
39.85,-0.614462
39.9,-0.6024299
39.95,-0.6438856
40,-0.6433756
40.05,-0.5842189
40.1,-0.482062
40.15,-0.4510513
40.2,-0.4429189
40.25,-0.4842667
40.3,-0.5457557
40.35,-0.5987515
40.4,-0.6418356
40.45,-0.6732794
40.5,-0.6406926
40.55,-0.676963
40.6,-0.6893631
40.65,-0.6987804
40.7,-0.6570171
40.75,-0.7648
40.8,-0.92443
40.85,-0.9593655
40.9,-0.9425355
40.95,-0.9742173
41,-1.01108
41.05,-1.020988
41.1,-0.9311665
41.15,-0.8676062
41.2,-0.8814779
41.25,-0.9162647
41.3,-1.069141
41.35,-1.270892
41.4,-1.370081
41.45,-1.280421
41.5,-1.135625
41.55,-1.038738
41.6,-0.9960088
41.65,-0.9394577
41.7,-0.8858652
41.75,-0.9393519
41.8,-0.9906703
41.85,-0.9980941
41.9,-0.9921581
41.95,-0.9714909
42,-0.9486143
42.05,-0.9308915
42.1,-0.9467301
42.15,-0.9731199
42.2,-0.9826713
42.25,-0.9468215
42.3,-0.9028707
42.35,-0.8018284
42.4,-0.7027007
42.45,-0.3951442
42.5,0.4660245
42.55,2.459917
42.6,6.555835
42.65,13.71601
42.7,25.35309
42.75,41.72826
42.8,62.46942
42.85,84.72066
42.9,103.7403
42.95,115.4003
43,116.4428
43.05,106.3727
43.1,88.12116
43.15,65.713
43.2,44.27971
43.25,26.5343
43.3,13.91844
43.35,6.387409
43.4,2.5962
43.45,0.9506511
43.5,0.2570016
43.55,-0.126535
43.6,-0.3524464
43.65,-0.6180799
43.7,-0.9018093
43.75,-0.9672981
43.8,-0.929091
43.85,-0.9189844
43.9,-0.9166802
43.95,-0.8810321
