Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.7828979,10,1430
32.05,-0.7828979,,
32.1,-0.7828979,,
32.15,-0.7828979,,
32.2,-0.7828979,,
32.25,-0.7828979,,
32.3,-0.7828979,,
32.35,-0.7828979,,
32.4,-0.7828979,,
32.45,-0.7828979,,
32.5,-0.7828979,,
32.55,-0.7828979,,
32.6,-0.7828979,,
32.65,-0.7828979,,
32.7,-0.7828979,,
32.75,-0.7828979,,
32.8,-0.7828979,,
32.85,-0.7828979,,
32.9,-1.226038,,
32.95,-1.31449,,
33,-0.7174988,,
33.05,-0.2658838,,
33.1,0.3273231,,
33.15,0.8429617,,
33.2,1.121298,,
33.25,1.214019,,
33.3,1.035601,,
33.35,0.2046549,,
33.4,-0.5666314,,
33.45,-0.6572066,,
33.5,-5.06E-02,,
33.55,0.6891035,,
33.6,1.098709,,
33.65,0.8720496,,
33.7,0.1200438,,
33.75,-0.7378021,,
33.8,-1.100477,,
33.85,-0.9515994,,
33.9,-0.5720754,,
33.95,-0.2743372,,
34,-0.3267273,,
34.05,-0.4997196,,
34.1,-0.4635949,,
34.15,-0.4568864,,
34.2,-0.3741278,,
34.25,-0.1492294,,
34.3,0.1487755,,
34.35,0.2872247,,
34.4,0.2642818,,
34.45,0.3870601,,
34.5,0.3264121,,
34.55,0.4338731,,
34.6,0.5353802,,
34.65,0.5535249,,
34.7,0.6912222,,
34.75,0.6433077,,
34.8,0.3020853,,
34.85,-0.1762688,,
34.9,-0.2381745,,
34.95,5.62E-02,,
35,3.43E-02,,
35.05,-8.49E-02,,
35.1,-0.2266171,,
35.15,-0.499535,,
35.2,-0.9157214,,
35.25,-1.191128,,
35.3,-1.1221,,
35.35,-0.9311024,,
35.4,-0.5231764,,
35.45,0.1918009,,
35.5,0.9315848,,
35.55,1.280637,,
35.6,1.006308,,
35.65,0.5883422,,
35.7,0.3806366,,
35.75,0.3388705,,
35.8,0.2683499,,
35.85,0.2406015,,
35.9,7.53E-02,,
35.95,-0.2255199,,
36,-0.6547291,,
36.05,-0.9595934,,
36.1,-0.9695684,,
36.15,-0.5326067,,
36.2,5.95E-02,,
36.25,0.5257642,,
36.3,0.7995646,,
36.35,0.6051598,,
36.4,3.73E-02,,
36.45,-0.5554637,,
36.5,-0.912948,,
36.55,-0.8441712,,
36.6,-0.5570354,,
36.65,-0.172093,,
36.7,0.1725708,,
36.75,0.2685412,,
36.8,0.4137073,,
36.85,0.6468749,,
36.9,0.7583911,,
36.95,0.6310821,,
37,0.5329837,,
37.05,0.6015398,,
37.1,0.6825081,,
37.15,0.6329266,,
37.2,0.4967535,,
37.25,0.1572599,,
37.3,-0.3724047,,
37.35,-0.5311971,,
37.4,-0.105415,,
37.45,0.2242317,,
37.5,4.22E-02,,
37.55,-0.3340339,,
37.6,-0.5956534,,
37.65,-0.6902528,,
37.7,-0.5581486,,
37.75,-0.2790597,,
37.8,-0.1837036,,
37.85,-0.4548343,,
37.9,-0.8476672,,
37.95,-0.9401737,,
38,-0.8227692,,
38.05,-0.5518106,,
38.1,-2.73E-02,,
38.15,0.5219955,,
38.2,0.8752442,,
38.25,0.8945833,,
38.3,0.5522665,,
38.35,-6.32E-02,,
38.4,-0.6047641,,
38.45,-0.7975041,,
38.5,-0.8652506,,
38.55,-1.011329,,
38.6,-1.027631,,
38.65,-0.9080166,,
38.7,-0.755308,,
38.75,-0.700918,,
38.8,-0.6693591,,
38.85,-0.6156792,,
38.9,-0.5529557,,
38.95,-0.4740956,,
39,-0.4284428,,
39.05,-0.570776,,
39.1,-0.7755509,,
39.15,-1.029789,,
39.2,-1.220158,,
39.25,-0.8448958,,
39.3,-0.1174659,,
39.35,0.2245443,,
39.4,-2.06E-02,,
39.45,-0.4288259,,
39.5,-0.6249613,,
39.55,-0.8236723,,
39.6,-0.7928371,,
39.65,-0.2612052,,
39.7,0.12007,,
39.75,-5.35E-02,,
39.8,-0.1594368,,
39.85,0.2273336,,
39.9,0.6785074,,
39.95,0.6056708,,
40,0.4947734,,
40.05,0.2571783,,
40.1,-0.2734896,,
40.15,-0.7835338,,
40.2,-0.9168164,,
40.25,-0.7128805,,
40.3,-0.4029452,,
40.35,-0.128288,,
40.4,0.2227662,,
40.45,0.2710965,,
40.5,0.1722773,,
40.55,-7.96E-02,,
40.6,-0.2397883,,
40.65,-7.09E-02,,
40.7,0.319845,,
40.75,1.024487,,
40.8,1.631093,,
40.85,1.888995,,
40.9,1.891232,,
40.95,1.560025,,
41,1.279997,,
41.05,1.2162,,
41.1,1.259199,,
41.15,1.345926,,
41.2,1.235973,,
41.25,1.029684,,
41.3,0.7846531,,
41.35,0.7401795,,
41.4,0.8750601,,
41.45,1.171108,,
41.5,1.431855,,
41.55,1.535392,,
41.6,1.570802,,
41.65,1.862648,,
41.7,2.281724,,
41.75,2.73224,,
41.8,3.040644,,
41.85,3.111662,,
41.9,2.984335,,
41.95,2.526101,,
42,2.232735,,
42.05,2.132272,,
42.1,2.135178,,
42.15,2.248852,,
42.2,2.267254,,
42.25,2.148083,,
42.3,2.235828,,
